Project Name,Package Name,Architecture Smell,Cause of the Smell
truth,com.google.common.truth,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 217
truth,com.google.common.truth,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [MapSubjectTest; MapSubject; Correspondence; Correspondence.TolerantNumericEquality; Ordered; IterableSubject; IterableSubject.NotInOrder; IterableSubject.UsingCorrespondence; IntStreamSubject; StreamSubject; LongStreamSubject; Truth8; OptionalLongSubject; ExpectFailureWithStackTraceTest; Expect; StandardSubjectBuilder; PrimitiveCharArraySubject; PrimitiveBooleanArraySubject; FailureStrategy; BooleanSubject; SortedSetSubject; CustomSubjectBuilder; PrimitiveFloatArraySubject; PrimitiveIntArraySubject; ExpectFailure; CustomSubjectBuilderFactory; FloatSubject; ClassSubject; MultisetSubject; SetMultimapSubject; OptionalIntSubjectTest; OptionalDoubleSubjectTest; OptionalLongSubjectTest; ExpectFailure8Test; OptionalSubjectTest; OptionalIntSubject; OptionalSubject; OptionalDoubleSubject; PathSubject; SubjectFactoryReflectionTest; StringSubject; SubjectFactory; Truth; SimpleSubjectBuilder; Subject; AtomicLongMapSubject; ListMultimapSubject; FailureMetadata; DefaultSubject; LongSubject; SortedMapSubject; TableSubject; PrimitiveLongArraySubject; ComparableSubject; GuavaOptionalSubject; IntegerSubject; BigDecimalSubject; PrimitiveByteArraySubject; Platform; Platform; SubjectFactoryReflectionTest.ParameterizedSubject; TruthAssertThatTest; CorrespondenceTest; SortedSetSubjectTest; SubjectTest; CustomFailureMessageTest; AbstractVerbTest; FailureStrategyTest; ClassSubjectTest; AbstractArraySubjectTest.TestSubjectFactory; AbstractArraySubjectTest.TestableStringArraySubject; AbstractArraySubject; PrimitiveDoubleArraySubject; AbstractArraySubjectTest.CapturingFailureStrategy; ExampleTest; TruthJUnit; StringUtil; AbstractFailureStrategy; FloatSubjectTest; FloatSubjectTest; ExpectFailureTest; IntegerSubjectTest; SortedMapSubjectTest; ExpectTest; PrimitiveShortArraySubjectTest; PrimitiveShortArraySubjectTest; DoubleSubjectTest; DoubleSubjectTest; LongSubjectTest; IterableSubjectTest; PlatformTest; AutoValue_Expect_ExpectationFailure; MapSubjectTest; ExpectFailureWithStackTraceTest; ExpectFailureWithStackTraceTest.FailingExpect; TruthAssertThatTest; RelabeledSubjectsTest; CorrespondenceTest; PrimitiveCharArraySubjectTest; StringSubjectTest; SortedSetSubjectTest; SubjectTest; CustomFailureMessageTest; StackTraceCleanerTest; StackTraceCleaner; ComparableSubjectTest; MultisetSubjectTest; ClassSubjectTest; BigDecimalSubjectTest; TableSubjectTest; ExpectFailureTest; ExpectFailureTest.BadSubject; PrimitiveIntArraySubjectTest; IntegerSubjectTest; ThrowableSubjectTest; SortedMapSubjectTest; PrimitiveBooleanArraySubjectTest; BooleanSubjectTest; PrimitiveDoubleArraySubjectTest; ObjectArraySubjectTest; PrimitiveLongArraySubjectTest; ExpectTest; AtomicLongMapSubjectTest; LongSubjectTest; IterableSubjectTest; PlatformTest; GuavaOptionalSubjectTest; PrimitiveByteArraySubjectTest; PrimitiveFloatArraySubjectTest; MultimapSubjectTest; PrimitiveShortArraySubject; ObjectArraySubject; DoubleSubject; ThrowableSubject; PrimitiveDoubleArraySubject.DoubleArrayAsIterable; MultimapSubject; MultimapSubject.IterableValuesForKey; MultimapSubject.IterableEntries; MultimapSubject.MultimapInOrder; MultimapSubject.UsingCorrespondence; FailureMetadata.MessageAddingFailureStrategy; Expect.ExpectationGatherer; PrimitiveFloatArraySubject.FloatArrayAsIterable; MapSubject.UsingCorrespondence; MapSubject.EntryCorrespondence; PathSubjectTest]; [ExpectFailureWithStackTraceTest.FailingExpect]; [RelabeledSubjectsTest]; [PrimitiveCharArraySubjectTest]; [StringSubjectTest]; [SubjectTest.IntWrapper]; [SubjectTest.Foo]; [ComparableSubjectTest]; [ComparableSubjectTest.ComparableType]; [ComparableSubjectTest.RawComparableType]; [MultisetSubjectTest]; [AbstractArraySubjectTest]; [BigDecimalSubjectTest]; [TableSubjectTest]; [ExpectFailureTest.FailingExpect]; [PrimitiveIntArraySubjectTest]; [ThrowableSubjectTest]; [PrimitiveBooleanArraySubjectTest]; [BooleanSubjectTest]; [PrimitiveDoubleArraySubjectTest]; [ObjectArraySubjectTest]; [MathUtilTest]; [GraphMatchingTest; GraphMatchingTest]; [GraphMatchingTest.TestInstance]; [GraphMatchingTest.Matching]; [GraphMatchingTest.Edge]; [PrimitiveLongArraySubjectTest]; [AtomicLongMapSubjectTest]; [IterableSubjectTest.HashCodeThrower]; [IterableSubjectTest.Foo]; [IterableSubjectTest.Bar]; [GuavaOptionalSubjectTest]; [PrimitiveByteArraySubjectTest]; [PrimitiveFloatArraySubjectTest]; [MultimapSubjectTest]; [SubjectTest.IntWrapper]; [SubjectTest.Foo]; [StackTraceCleanerTest.SelfReferencingThrowable]; [ComparableSubjectTest.ComparableType]; [ComparableSubjectTest.RawComparableType]; [MathUtilTest]; [GraphMatchingTest.TestInstance]; [GraphMatchingTest.Matching]; [GraphMatchingTest.Edge]; [IterableSubjectTest.HashCodeThrower]; [IterableSubjectTest.Foo]; [IterableSubjectTest.Bar]; [StackTraceCleaner.StackTraceElementWrapper]; [StackTraceCleaner.StackFrameType]; [TruthJUnit.ThrowableAssumptionViolatedException]; [DoubleSubject.TolerantDoubleComparison]; [PrimitiveDoubleArraySubject.TolerantPrimitiveDoubleArrayComparison]; [SubjectUtils]; [GraphMatching]; [GraphMatching.HopcroftKarp]; [Subject.Factory]; [FailureMetadata.Message]; [SortedMapSubject.SortedMapAsNavigableMap]; [Expect.ExpectationFailure]; [SortedSetSubject.SortedSetAsNavigableSet]; [CustomSubjectBuilder.Factory]; [PrimitiveFloatArraySubject.TolerantPrimitiveFloatArrayComparison]; [Platform.NativeRegExp]; [ExpectFailure.StandardSubjectBuilderCallback]; [ExpectFailure.SimpleSubjectBuilderCallback]; [FloatSubject.TolerantFloatComparison]; [IterableSubject.PairwiseChecker]; [MathUtil]; [StreamSubjectTest]; [IntStreamSubjectTest]; [LongStreamSubjectTest]. LCC (Lack of Component Cohesion) = 0.33
truth,com.google.common.truth.extension,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [EmployeeSubjectTest; Employee; FakeHrDatabase; FakeHrDatabaseTest; EmployeeSubjectTest; EmployeeSubject; HrDatabase; Employee; EmployeeSubject]; [Employee.Location]; [Employee.Location]. LCC (Lack of Component Cohesion) = 0.27
truth,com.google.common.truth.extensions.proto,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 100
truth,com.google.common.truth.extensions.proto,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ProtoSubjectTestBase; FieldScopesTest; MultimapWithProtoValuesSubjectTest; IterableOfProtosSubjectTest; OverloadResolutionTest; MapWithProtoValuesSubjectTest; ProtoSubjectTest; ProtoSubject; ProtoSubject.MessageSubject; FieldScope; MessageDifferencer; MapWithProtoValuesFluentAssertion; IterableOfProtosFluentAssertion; ProtoSubjectBuilder; SetMultimapWithProtoValuesSubject; SetMultimapWithProtoValuesSubject.SetMultimapWithMessageValuesSubject; FieldScopeLogic; FieldScopeLogic.PartialScopeLogic; FieldScopeLogic.FieldMatcherLogicBase; FieldScopeLogic.CompoundFieldScopeLogic; FieldScopeUtil; ProtoTruthMessageDifferencer; DiffResult; MapWithProtoValuesSubject; MapWithProtoValuesSubject.MapWithMessageValuesSubject; MapWithProtoValuesSubject.MapWithProtoValuesFluentAssertionImpl; MultimapWithProtoValuesSubject; MultimapWithProtoValuesSubject.MultimapWithMessageValuesSubject; MultimapWithProtoValuesSubject.MultimapWithProtoValuesFluentAssertionImpl; RecursableDiffEntity; RecursableDiffEntity.WithoutResultCode; RecursableDiffEntity.WithResultCode; FluentEqualityConfig; FieldNumberTree; ProtoFluentAssertion; ProtoTruth; FieldScopes; IterableOfProtosSubject; IterableOfProtosSubject.IterableOfMessagesSubject; IterableOfProtosSubject.IterableOfProtosFluentAssertionImpl; FieldScopeImpl; LiteProtoSubject; LiteProtoSubject.MessageLiteSubject; LiteProtoTruth; MultimapWithProtoValuesFluentAssertion; ProtoSubject.Reporter; ListMultimapWithProtoValuesSubject; ListMultimapWithProtoValuesSubject.ListMultimapWithMessageValuesSubject; DiffResult.SingularField; DiffResult.RepeatedField; DiffResult.PairResult; DiffResult.UnknownFieldSetDiff; MultimapWithProtoValuesSubject.IterableValuesForKey; LiteProtoSubjectTest]; [ProtoSubjectTestBase.TestType]; [ProtoSubject.ReporterRecord]; [MessageDifferencer.MapKeyComparator]; [MessageDifferencer.ProtoMapKeyComparator]; [MessageDifferencer.MultipleFieldsMapKeyComparator]; [MessageDifferencer.Builder]; [MessageDifferencer.IgnoreCriteria]; [MessageDifferencer.SpecificField]; [MessageDifferencer.UnknownDescriptor]; [MessageDifferencer.FieldComparator]; [MessageDifferencer.ComparisonResult]; [MessageDifferencer.Reporter]; [MessageDifferencer.ReportType]; [MessageDifferencer.MessageFieldComparison]; [MessageDifferencer.Scope]; [MessageDifferencer.FloatComparison]; [MessageDifferencer.RepeatedFieldComparison]; [MessageDifferencer.UnknownFieldType]; [MessageDifferencer.StreamReporter]; [MessageDifferencer.StreamException]; [MessageDifferencer.DefaultFieldComparator]; [ProtoSubjectBuilder.Factory]; [FieldScopeLogic.Cache]; [FieldScopeLogic.Context]; [FieldScopeLogic.FieldNumbersLogic]; [FieldScopeLogic.FieldDescriptorsLogic]; [FieldScopeLogic.IntersectionFieldScopeLogic]; [FieldScopeLogic.UnionFieldScopeLogic]; [FieldScopeLogic.NegationFieldScopeLogic]; [ProtoTruthMessageDifferencer.ShouldIgnore]; [ProtoTruthMessageDifferencer.UnknownFieldDescriptor]; [ProtoTruthMessageDifferencer.Type]; [ProtoTruthMessageDifferencer.FieldDescriptorOrUnknown]; [DiffResult.Builder]; [DiffResult.Builder]; [DiffResult.Builder]; [DiffResult.Builder]; [DiffResult.Builder]; [RecursableDiffEntity.Result]; [RecursableDiffEntity.Builder]; [FluentEqualityConfig.Builder]; [FieldNumberTree.Key]; [LiteProtoSubjectTest.Config]; [LiteProtoSubjectTest.Builder]; [LiteProtoSubject.Factory]; [LiteProtoSubject.MessageLiteSubjectFactory]. LCC (Lack of Component Cohesion) = 0.47
