Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
truth,org.junit.contrib.truth,SubjectFactoryReflectionTest,genericErasureWorkaround,9,1,0,35,1,,
truth,org.junit.contrib.truth,SubjectFactoryReflectionTest,getSubject,3,1,2,38,0,,
truth,org.junit.contrib.truth,SubjectTest,identityOfNulls,4,1,0,36,1,,
truth,org.junit.contrib.truth,SubjectTest,identityOfNullsFailure,10,1,0,41,1,,
truth,org.junit.contrib.truth,SubjectTest,identityOfObject,5,1,0,51,1,,
truth,org.junit.contrib.truth,SubjectTest,identityOfObjectFailure,21,1,0,57,1,,
truth,org.junit.contrib.truth,SubjectTest,toString,3,1,0,58,0,,
truth,org.junit.contrib.truth,SubjectTest,toString,3,1,0,59,0,,
truth,org.junit.contrib.truth,SubjectTest,identityOfObjectFailureWithComparableObjects,11,1,0,69,1,,
truth,org.junit.contrib.truth,SubjectTest,isNull,4,1,0,80,1,,
truth,org.junit.contrib.truth,SubjectTest,isNullFail,10,1,0,85,1,,
truth,org.junit.contrib.truth,SubjectTest,isNotNull,4,1,0,95,1,,
truth,org.junit.contrib.truth,SubjectTest,isNotNullFail,10,1,0,100,1,,
truth,org.junit.contrib.truth,SubjectTest,equalityOfNulls,4,1,0,110,1,,
truth,org.junit.contrib.truth,SubjectTest,equalityOfNullsFailure,10,1,0,115,1,,
truth,org.junit.contrib.truth,SubjectTest,equalityOfObjectBasedOnIdentity,5,1,0,125,1,,
truth,org.junit.contrib.truth,SubjectTest,equalityOfObjectFailure,21,1,0,131,1,,
truth,org.junit.contrib.truth,SubjectTest,toString,3,1,0,132,0,,
truth,org.junit.contrib.truth,SubjectTest,toString,3,1,0,133,0,,
truth,org.junit.contrib.truth,SubjectTest,equalityOfComparableObjects,5,1,0,142,1,,
truth,org.junit.contrib.truth,SubjectTest,equalityOfComparableObjectsFailure,11,1,0,148,1,,
truth,org.junit.contrib.truth,SubjectTest,inequalityOfNulls,4,1,0,159,1,,
truth,org.junit.contrib.truth,SubjectTest,inequalityOfNullsFailure,10,1,0,164,1,,
truth,org.junit.contrib.truth,SubjectTest,inequalityOfObjectBasedOnIdentity,5,1,0,174,1,,
truth,org.junit.contrib.truth,SubjectTest,inequalityOfObjectFailure,16,1,0,180,1,,
truth,org.junit.contrib.truth,SubjectTest,toString,3,1,0,181,0,,
truth,org.junit.contrib.truth,SubjectTest,inequalityOfComparableObjects,5,1,0,191,1,,
truth,org.junit.contrib.truth,SubjectTest,inequalityOfComparableObjectsFailure,11,1,0,197,1,,
truth,org.junit.contrib.truth,SubjectTest,isA,3,1,0,208,1,,
truth,org.junit.contrib.truth,SubjectTest,isAFail,9,1,0,212,1,,
truth,org.junit.contrib.truth,SubjectTest,isNotA,3,1,0,221,1,,
truth,org.junit.contrib.truth,SubjectTest,isNotAFail,9,1,0,225,1,,
truth,org.junit.contrib.truth,AbstractVerbTest,fail,3,1,1,37,0,,
truth,org.junit.contrib.truth,AbstractVerbTest,noArgFail,4,1,0,45,1,,
truth,org.junit.contrib.truth,AbstractVerbTest,argFail,4,1,1,50,0,,
truth,org.junit.contrib.truth,ListTest,listContainsSequenceWithEmptyList,3,1,0,36,1,,
truth,org.junit.contrib.truth,ListTest,listContainsSequenceWithSingleton,3,1,0,40,1,,
truth,org.junit.contrib.truth,ListTest,listContainsSequenceAtEnd,3,1,0,44,1,,
truth,org.junit.contrib.truth,ListTest,listContainsSequenceAtStart,3,1,0,48,1,,
