Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
truth,org.junit.contrib.truth,SubjectFactoryReflectionTest,0,0,2,2,15,2,0,0,-1.0,0,3,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/src/test/java/org/junit/contrib/truth/SubjectFactoryReflectionTest.java,27
truth,org.junit.contrib.truth,SubjectTest,0,0,30,30,217,30,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/src/test/java/org/junit/contrib/truth/SubjectTest.java,27
truth,org.junit.contrib.truth,AbstractVerbTest,3,1,3,3,22,3,0,0,0.0,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/src/test/java/org/junit/contrib/truth/AbstractVerbTest.java,27
truth,org.junit.contrib.truth,ListTest,1,0,18,18,117,18,0,0,0.8333333333333334,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/src/test/java/org/junit/contrib/truth/ListTest.java,28
truth,org.junit.contrib.truth,IterationOverSubjectTest,0,0,3,2,39,5,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/src/test/java/org/junit/contrib/truth/IterationOverSubjectTest.java,29
truth,org.junit.contrib.truth,CollectionTest,0,0,20,19,119,20,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/src/test/java/org/junit/contrib/truth/CollectionTest.java,29
truth,org.junit.contrib.truth,ExampleTest,2,2,7,7,36,7,0,0,1.0,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/src/test/java/org/junit/contrib/truth/ExampleTest.java,36
truth,org.junit.contrib.truth,IntegerTest,1,1,16,16,125,16,0,0,0.9375,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/src/test/java/org/junit/contrib/truth/IntegerTest.java,30
truth,org.junit.contrib.truth,BooleanTest,0,0,4,4,30,4,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/src/test/java/org/junit/contrib/truth/BooleanTest.java,26
truth,org.junit.contrib.truth,ExpectFailureTest,1,1,4,4,40,4,0,0,0.0,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/src/test/java/org/junit/contrib/truth/ExpectFailureTest.java,29
truth,org.junit.contrib.truth,ExpectFailureTest.FailingExpect,0,0,0,0,20,0,0,3,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/src/test/java/org/junit/contrib/truth/ExpectFailureTest.java,57
truth,org.junit.contrib.truth,IterableTest,0,0,7,6,50,7,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/src/test/java/org/junit/contrib/truth/IterableTest.java,28
truth,org.junit.contrib.truth,ExpectTest,4,1,4,4,32,4,0,0,0.0,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/src/test/java/org/junit/contrib/truth/ExpectTest.java,28
truth,org.junit.contrib.truth,StringTest,0,0,14,14,105,14,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/src/test/java/org/junit/contrib/truth/StringTest.java,26
truth,org.junit.contrib.truth,Truth,4,4,2,2,21,2,0,0,1.0,1,2,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/src/main/java/org/junit/contrib/truth/Truth.java,23
truth,org.junit.contrib.truth,Expect,3,0,5,3,41,10,1,2,0.4,4,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/src/main/java/org/junit/contrib/truth/Expect.java,27
truth,org.junit.contrib.truth,Expect.ExpectationGatherer,1,0,0,0,6,0,0,1,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/src/main/java/org/junit/contrib/truth/Expect.java,30
truth,org.junit.contrib.truth,AbstractVerb,2,0,6,5,46,6,3,0,0.0,1,3,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/src/main/java/org/junit/contrib/truth/AbstractVerb.java,7
truth,org.junit.contrib.truth,AbstractVerb.DelegatedVerb,1,0,0,0,13,0,0,1,-1.0,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/src/main/java/org/junit/contrib/truth/AbstractVerb.java,47
truth,org.junit.contrib.truth,FailureStrategy,0,0,1,0,3,1,1,0,-1.0,19,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/src/main/java/org/junit/contrib/truth/FailureStrategy.java,21
truth,org.junit.contrib.truth,IteratingVerb,3,0,6,3,67,6,0,1,0.3333333333333333,1,3,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/src/main/java/org/junit/contrib/truth/IteratingVerb.java,17
truth,org.junit.contrib.truth,TestVerb,0,0,10,10,32,10,1,1,-1.0,1,4,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/src/main/java/org/junit/contrib/truth/TestVerb.java,32
truth,org.junit.contrib.truth.codegen,IteratingWrapperClassBuilderTest,3,1,2,2,37,2,0,0,1.0,0,3,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/src/test/java/org/junit/contrib/truth/codegen/IteratingWrapperClassBuilderTest.java,28
truth,org.junit.contrib.truth.codegen,IteratingWrapperClassBuilderTest.FooSubject,1,1,0,0,17,0,0,0,-1.0,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/src/test/java/org/junit/contrib/truth/codegen/IteratingWrapperClassBuilderTest.java,106
truth,org.junit.contrib.truth.codegen,BarSubject,1,1,3,3,20,4,0,0,1.0,1,2,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/src/test/java/org/junit/contrib/truth/codegen/BarSubject.java,23
truth,org.junit.contrib.truth.codegen,IteratingWrapperClassBuilder,6,1,6,2,74,16,0,0,0.0,2,2,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/src/main/java/org/junit/contrib/truth/codegen/IteratingWrapperClassBuilder.java,17
