Project Name,Package Name,Architecture Smell,Cause of the Smell
truth,com.google.common.truth,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 212
truth,com.google.common.truth,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [MapSubjectTest; MapSubject; TestVerb; Correspondence; Correspondence.TolerantNumericEquality; FloatSubject; ClassSubject; MultisetSubject; Ordered; SetMultimapSubject; IterableSubject; IterableSubject.NotInOrder; IterableSubject.UsingCorrespondence; OptionalIntSubjectTest; OptionalDoubleSubjectTest; OptionalLongSubjectTest; OptionalTest; OptionalIntSubject; StreamSubject; OptionalSubject; OptionalDoubleSubject; IgnoreFailuresFailureStrategy; Truth8; OptionalLongSubject; ExpectFailureWithStackTraceTest; Expect; FailureStrategy; BooleanSubject; SortedSetSubject; PrimitiveFloatArraySubject; PrimitiveIntArraySubject; OptionalIntSubjectTest.CountingFailureStrategy; OptionalDoubleSubjectTest.CountingFailureStrategy; OptionalLongSubjectTest.CountingFailureStrategy; SubjectFactoryReflectionTest; StringSubject; SubjectFactory; Truth; Subject; AtomicLongMapSubject; ListMultimapSubject; DefaultSubject; LongSubject; SortedMapSubject; TableSubject; PrimitiveLongArraySubject; ComparableSubject; GuavaOptionalSubject; IntegerSubject; BigDecimalSubject; PrimitiveByteArraySubject; AbstractVerb; AbstractVerb.DelegatedVerb; PrimitiveCharArraySubject; PrimitiveBooleanArraySubject; FailureContext; Platform; Platform; SubjectFactoryReflectionTest.ParameterizedSubject; TruthAssertThatTest; CorrespondenceTest; SortedSetSubjectTest; SubjectTest; CustomFailureMessageTest; AbstractVerbTest; FailureStrategyTest; ClassSubjectTest; AbstractArraySubjectTest.TestSubjectFactory; AbstractArraySubjectTest.TestableStringArraySubject; AbstractArraySubject; PrimitiveDoubleArraySubject; AbstractArraySubjectTest.CapturingFailureStrategy; ExampleTest; TruthJUnit; StringUtil; ExpectFailureTest; IntegerSubjectTest; SortedMapSubjectTest; ExpectTest; LongSubjectTest; IterableSubjectTest; PlatformTest; AutoValue_Expect_ExpectationFailure; MapSubjectTest; ExpectFailureWithStackTraceTest; SubjectFactoryReflectionTest; SubjectFactoryReflectionTest.ParameterizedSubject; TruthAssertThatTest; CorrespondenceTest; SortedSetSubjectTest; SubjectTest; CustomFailureMessageTest; AbstractVerbTest; FailureStrategyTest; ClassSubjectTest; AbstractArraySubjectTest.TestSubjectFactory; AbstractArraySubjectTest.TestableStringArraySubject; AbstractArraySubjectTest.CapturingFailureStrategy; ExampleTest; ExpectFailureTest; IntegerSubjectTest; SortedMapSubjectTest; ExpectTest; LongSubjectTest; IterableSubjectTest; PlatformTest; PrimitiveShortArraySubject; ObjectArraySubject; DoubleSubject; ThrowableSubject; MultimapSubject; MultimapSubject.IterableValuesForKey; MultimapSubject.MultimapInOrder; MultimapSubject.UsingCorrespondence; Expect.ExpectationGatherer; AbstractVerb.MessagePrependingFailureStrategy; MapSubject.UsingCorrespondence; MapSubject.EntryCorrespondence]; [ExpectFailureWithStackTraceTest.FailingExpect]; [RelabeledSubjectsTest]; [PrimitiveCharArraySubjectTest]; [StringSubjectTest]; [SubjectTest.IntWrapper]; [SubjectTest.Foo]; [ComparableSubjectTest]; [ComparableSubjectTest.ComparableType]; [ComparableSubjectTest.RawComparableType]; [MultisetSubjectTest]; [AbstractArraySubjectTest]; [BigDecimalSubjectTest]; [FloatSubjectTest; FloatSubjectTest]; [TableSubjectTest]; [ExpectFailureTest.FailingExpect]; [PrimitiveIntArraySubjectTest]; [ThrowableSubjectTest]; [PrimitiveBooleanArraySubjectTest]; [BooleanSubjectTest]; [PrimitiveDoubleArraySubjectTest]; [ObjectArraySubjectTest]; [MathUtilTest]; [GraphMatchingTest; GraphMatchingTest]; [GraphMatchingTest.TestInstance]; [GraphMatchingTest.Matching]; [GraphMatchingTest.Edge]; [PrimitiveLongArraySubjectTest]; [AtomicLongMapSubjectTest]; [PrimitiveShortArraySubjectTest; PrimitiveShortArraySubjectTest]; [DoubleSubjectTest; DoubleSubjectTest]; [IterableSubjectTest.HashCodeThrower]; [IterableSubjectTest.Foo]; [IterableSubjectTest.Bar]; [GuavaOptionalSubjectTest]; [PrimitiveByteArraySubjectTest]; [PrimitiveFloatArraySubjectTest]; [MultimapSubjectTest]; [ExpectFailureWithStackTraceTest.FailingExpect]; [RelabeledSubjectsTest]; [PrimitiveCharArraySubjectTest]; [StringSubjectTest]; [SubjectTest.IntWrapper]; [SubjectTest.Foo]; [ComparableSubjectTest]; [ComparableSubjectTest.ComparableType]; [ComparableSubjectTest.RawComparableType]; [MultisetSubjectTest]; [AbstractArraySubjectTest]; [BigDecimalSubjectTest]; [TableSubjectTest]; [ExpectFailureTest.FailingExpect]; [PrimitiveIntArraySubjectTest]; [ThrowableSubjectTest]; [PrimitiveBooleanArraySubjectTest]; [BooleanSubjectTest]; [PrimitiveDoubleArraySubjectTest]; [ObjectArraySubjectTest]; [MathUtilTest]; [GraphMatchingTest.TestInstance]; [GraphMatchingTest.Matching]; [GraphMatchingTest.Edge]; [PrimitiveLongArraySubjectTest]; [AtomicLongMapSubjectTest]; [IterableSubjectTest.HashCodeThrower]; [IterableSubjectTest.Foo]; [IterableSubjectTest.Bar]; [GuavaOptionalSubjectTest]; [PrimitiveByteArraySubjectTest]; [PrimitiveFloatArraySubjectTest]; [MultimapSubjectTest]; [TruthJUnit.ThrowableAssumptionViolatedException]; [DoubleSubject.TolerantDoubleComparison]; [PrimitiveDoubleArraySubject.TolerantPrimitiveDoubleArrayComparison]; [SubjectUtils]; [GraphMatching]; [GraphMatching.HopcroftKarp]; [SortedMapSubject.SortedMapAsNavigableMap]; [Expect.ExpectationFailure]; [SortedSetSubject.SortedSetAsNavigableSet]; [PrimitiveFloatArraySubject.TolerantPrimitiveFloatArrayComparison]; [Platform.NativeRegExp]; [FloatSubject.TolerantFloatComparison]; [ReflectionUtil]; [IterableSubject.PairwiseChecker]; [MathUtil]; [StreamSubjectTest]; [OptionalIntSubjectTest.ValidationException]; [OptionalDoubleSubjectTest.ValidationException]; [OptionalLongSubjectTest.ValidationException]; [OptionalTest.ValidationException]. LCC (Lack of Component Cohesion) = 0.43
truth,com.google.common.truth.extension,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [EmployeeSubjectTest; Employee; EmployeeSubjectTest; EmployeeSubject; Employee; EmployeeSubject]; [Employee.Location]; [Employee.Location]. LCC (Lack of Component Cohesion) = 0.38
truth,com.google.common.truth.delegation,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DelegationTest]; [Foo; FooSubject; FooSubject]; [DelegationTest]; [Foo]. LCC (Lack of Component Cohesion) = 0.67
truth,com.google.common.truth.extensions.proto,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 66
truth,com.google.common.truth.extensions.proto,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ProtoSubjectTestBase; FieldScopesTest; IterableOfProtosSubjectTest; OverloadResolutionTest; ProtoSubjectTest; ProtoSubject; ProtoSubject.UntypedSubject; FieldScope; MessageDifferencer; IterableOfProtosFluentAssertion; FieldScopeLogic; FieldScopeLogic.PartialScopeLogic; FieldScopeLogic.FieldMatcherLogicBase; FieldScopeLogic.CompoundFieldScopeLogic; FieldScopeUtil; FluentEqualityConfig; FieldNumberTree; ProtoFluentAssertion; ProtoTruth; FieldScopes; IterableOfProtosSubject; IterableOfProtosSubject.IterableOfMessagesSubject; IterableOfProtosSubject.Factory; IterableOfProtosSubject.IterableOfProtosFluentAssertionImpl; FieldScopeImpl; LiteProtoSubject; LiteProtoSubject.UntypedSubject; LiteProtoTruth; ProtoSubject.Factory; ProtoSubject.Reporter; LiteProtoSubjectTest]; [ProtoSubjectTestBase.TestType]; [ProtoSubject.ReporterRecord]; [ProtoSubject.UntypedSubjectFactory]; [MessageDifferencer.MapKeyComparator]; [MessageDifferencer.MultipleFieldsMapKeyComparator]; [MessageDifferencer.Builder]; [MessageDifferencer.IgnoreCriteria]; [MessageDifferencer.SpecificField]; [MessageDifferencer.UnknownDescriptor]; [MessageDifferencer.FieldComparator]; [MessageDifferencer.ComparisonResult]; [MessageDifferencer.Reporter]; [MessageDifferencer.ReportType]; [MessageDifferencer.MessageFieldComparison]; [MessageDifferencer.Scope]; [MessageDifferencer.FloatComparison]; [MessageDifferencer.RepeatedFieldComparison]; [MessageDifferencer.UnknownFieldType]; [MessageDifferencer.StreamReporter]; [MessageDifferencer.StreamException]; [MessageDifferencer.DefaultFieldComparator]; [FieldScopeLogic.Cache]; [FieldScopeLogic.Context]; [FieldScopeLogic.FieldNumbersLogic]; [FieldScopeLogic.FieldDescriptorsLogic]; [FieldScopeLogic.IntersectionFieldScopeLogic]; [FieldScopeLogic.UnionFieldScopeLogic]; [FieldScopeLogic.NegationFieldScopeLogic]; [FluentEqualityConfig.Builder]; [FieldNumberTree.Key]; [IterableOfProtosSubject.Factory]; [LiteProtoSubjectTest.Config]; [LiteProtoSubjectTest.Builder]; [LiteProtoSubject.Factory]; [LiteProtoSubject.UntypedSubjectFactory]. LCC (Lack of Component Cohesion) = 0.55
