Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
truth,com.google.common.truth,CustomSubjectBuilder.Factory,0,0,0,0,9,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/com/google/common/truth/CustomSubjectBuilder.java,37
truth,com.google.common.truth,PrimitiveFloatArraySubject,1,0,15,11,191,31,0,2,0.7333333333333333,5,3,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/com/google/common/truth/PrimitiveFloatArraySubject.java,34
truth,com.google.common.truth,PrimitiveFloatArraySubject.TolerantPrimitiveFloatArrayComparison,0,0,0,0,31,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/com/google/common/truth/PrimitiveFloatArraySubject.java,94
truth,com.google.common.truth,PrimitiveFloatArraySubject.FloatArrayAsIterable,0,0,0,0,32,0,0,0,-1.0,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/com/google/common/truth/PrimitiveFloatArraySubject.java,358
truth,com.google.common.truth,PrimitiveFloatArraySubject.IterableSubjectWithInheritedToString,0,0,0,0,8,0,0,2,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/com/google/common/truth/PrimitiveFloatArraySubject.java,422
truth,com.google.common.truth,Platform,2,0,11,0,131,21,0,0,0.9090909090909091,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/com/google/common/truth/super/com/google/common/truth/Platform.java,30
truth,com.google.common.truth,Platform.ComparisonFailureMessageStrategy,0,0,0,0,1,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/com/google/common/truth/super/com/google/common/truth/Platform.java,56
truth,com.google.common.truth,Platform.PlatformComparisonFailure,0,0,0,0,12,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/com/google/common/truth/super/com/google/common/truth/Platform.java,61
truth,com.google.common.truth,Platform.JUnitTestRule,0,0,0,0,5,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/com/google/common/truth/super/com/google/common/truth/Platform.java,166
truth,com.google.common.truth,Platform.NativeRegExp,0,0,0,0,5,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/com/google/common/truth/super/com/google/common/truth/Platform.java,187
truth,com.google.common.truth,Platform.Number,0,0,0,0,3,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/com/google/common/truth/super/com/google/common/truth/Platform.java,194
