Project Name,Package Name,Architecture Smell,Cause of the Smell
truth,com.google.common.truth,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 270
truth,com.google.common.truth,God Component,The tool detected the smell in this component because the component contains high number of LOC (Lines Of Code). The total LOC of the component: 28516
truth,com.google.common.truth,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [MapSubjectTest; MapSubject; Correspondence; Correspondence.TolerantNumericEquality; Ordered; IterableSubject; IterableSubject.UsingCorrespondence; IntStreamSubject; StreamSubject; LongStreamSubject; Truth8; OptionalLongSubject; ExpectFailureWithStackTraceTest; Expect; StandardSubjectBuilder; PrimitiveCharArraySubject; PrimitiveBooleanArraySubject; FailureStrategy; BooleanSubject; SortedSetSubject; CustomSubjectBuilder; PrimitiveFloatArraySubject; PrimitiveIntArraySubject; ExpectFailure; FloatSubject; ClassSubject; MultisetSubject; SetMultimapSubject; StreamSubjectTest; IntStreamSubjectTest; LongStreamSubjectTest; OptionalIntSubjectTest; OptionalDoubleSubjectTest; OptionalLongSubjectTest; OptionalSubjectTest; OptionalIntSubject; OptionalDoubleSubject; SubjectFactoryReflectionTest; StringSubject; TruthFailureSubject; Truth; SimpleSubjectBuilder; Subject; AtomicLongMapSubject; ListMultimapSubject; FailureMetadata; FailureMetadata.Step; DefaultSubject; ErrorWithFacts; LongSubject; SortedMapSubject; TableSubject; PrimitiveLongArraySubject; AssertionErrorWithFacts; ComparableSubject; GuavaOptionalSubject; IntegerSubject; BigDecimalSubject; PrimitiveByteArraySubject; Platform; ComparisonFailureWithFacts; Fact; LazyMessage; ExpectFailure8Test; OptionalSubject; PathSubject; SubjectFactoryReflectionTest.ParameterizedSubject; TruthAssertThatTest; CorrespondenceTest; SortedSetSubjectTest; SubjectTest; CustomFailureMessageTest; AbstractVerbTest; FailureStrategyTest; ClassSubjectTest; AbstractArraySubjectTest.TestableStringArraySubject; AbstractArraySubject; PrimitiveDoubleArraySubject; AbstractArraySubjectTest.CapturingFailureStrategy; ExampleTest; TruthJUnit; FloatSubjectTest; FloatSubjectTest; ExpectFailureTest; IntegerSubjectTest; SortedMapSubjectTest; GraphMatchingTest; GraphMatchingTest; ExpectTest; PrimitiveShortArraySubjectTest; PrimitiveShortArraySubjectTest; PrimitiveShortArraySubject; DoubleSubjectTest; DoubleSubjectTest; DoubleSubject; LongSubjectTest; IterableSubjectTest; PlatformTest; MultimapSubjectTest; BaseSubjectTestCase; BigDecimalSubjectTest; TableSubjectTest; PrimitiveIntArraySubjectTest; IntegerSubjectTest; ThrowableSubjectTest; SortedMapSubjectTest; PrimitiveBooleanArraySubjectTest; PlatformBaseSubjectTestCase; BooleanSubjectTest; PrimitiveDoubleArraySubjectTest; ObjectArraySubjectTest; PrimitiveLongArraySubjectTest; AtomicLongMapSubjectTest; LongSubjectTest; ChainingTest; IterableSubjectTest; GuavaOptionalSubjectTest; PrimitiveByteArraySubjectTest; PrimitiveFloatArraySubjectTest; MultimapSubjectTest; ObjectArraySubject; ThrowableSubject; MultimapSubject; AutoValue_Expect_ExpectationFailure; MapSubjectTest; ExpectWithStackTest; ExpectFailureWithStackTraceTest; ExpectFailureWithStackTraceTest.FailingExpect; TruthAssertThatTest; TruthFailureSubjectTest; CorrespondenceTest; PrimitiveCharArraySubjectTest; IterableSubjectCorrespondenceTest; StringSubjectTest; TestCorrespondences; TestCorrespondences.RecordCorrespondence; SortedSetSubjectTest; SubjectTest; SubjectTest.ForbidsEqualityChecksSubject; CustomFailureMessageTest; StackTraceCleanerTest; StackTraceCleaner; ComparableSubjectTest; MultisetSubjectTest; ClassSubjectTest; ComparisonFailureWithFactsTest; ExpectFailureRuleTest; ExpectFailureTest; ExpectFailureTest.BadSubject; ExpectTest; ExpectFailureNonRuleTest; ExpectFailureNonRuleTest.ExpectFailureThrowInSubject; ExpectFailureNonRuleTest.ExpectFailureThrowAfterSubject; PlatformBaseSubjectTestCase; ChainingTest.MyObjectSubject; PrimitiveDoubleArraySubject.DoubleArrayAsIterable; PrimitiveDoubleArraySubject.IterableSubjectWithInheritedToString; MultimapSubject.IterableEntries; MultimapSubject.MultimapInOrder; MultimapSubject.UsingCorrespondence; MultimapSubject.EntryCorrespondence; Expect.ExpectationGatherer; PrimitiveFloatArraySubject.FloatArrayAsIterable; PrimitiveFloatArraySubject.IterableSubjectWithInheritedToString; MapSubject.MapInOrder; MapSubject.UsingCorrespondence; PathSubjectTest]; [ExpectFailureWithStackTraceTest.FailingExpect]; [RelabeledSubjectsTest]; [PrimitiveCharArraySubjectTest]; [StringSubjectTest]; [SubjectTest.IntWrapper]; [SubjectTest.Foo]; [ComparableSubjectTest]; [ComparableSubjectTest.ComparableType]; [ComparableSubjectTest.RawComparableType]; [MultisetSubjectTest]; [AbstractArraySubjectTest]; [AbstractArraySubjectTest.TestSubjectFactory]; [BigDecimalSubjectTest]; [TableSubjectTest]; [ExpectFailureTest.FailingExpect]; [PrimitiveIntArraySubjectTest]; [ThrowableSubjectTest]; [PrimitiveBooleanArraySubjectTest]; [BooleanSubjectTest]; [PrimitiveDoubleArraySubjectTest]; [ObjectArraySubjectTest]; [MathUtilTest]; [GraphMatchingTest.TestInstance]; [GraphMatchingTest.Matching]; [GraphMatchingTest.Edge]; [PrimitiveLongArraySubjectTest]; [AtomicLongMapSubjectTest]; [IterableSubjectTest.HashCodeThrower]; [IterableSubjectTest.Foo]; [IterableSubjectTest.Bar]; [GuavaOptionalSubjectTest]; [PrimitiveByteArraySubjectTest]; [PrimitiveFloatArraySubjectTest]; [MapSubjectTest.BrokenMap]; [ExpectWithStackTest.TestRuleVerifier]; [IterableSubjectCorrespondenceTest.CountsToStringCalls]; [TestCorrespondences.Record]; [SubjectTest.IntWrapper]; [SubjectTest.ThrowsOnEqualsNull]; [SubjectTest.ThrowsOnEquals]; [StackTraceCleanerTest.SomeStatement]; [StackTraceCleanerTest.SomeRunner]; [StackTraceCleanerTest.SelfReferencingThrowable]; [ComparableSubjectTest.StringComparedByLength]; [ComparableSubjectTest.ComparableType]; [ComparableSubjectTest.RawComparableType]; [TestPlatform]; [ComparableSubjectCompileTest]; [FactTest]; [TestPlatform]; [StringUtilTest; StringUtil]; [MathUtilTest]; [GraphMatchingTest.TestInstance]; [GraphMatchingTest.Matching]; [GraphMatchingTest.Edge]; [IterableSubjectTest.HashCodeThrower]; [IterableSubjectTest.Foo]; [IterableSubjectTest.Bar]; [IterableSubjectTest.CountsToStringCalls]; [StackTraceCleaner.StackTraceElementWrapper]; [StackTraceCleaner.StackFrameType]; [TruthJUnit.ThrowableAssumptionViolatedException]; [DoubleSubject.TolerantDoubleComparison]; [PrimitiveDoubleArraySubject.TolerantPrimitiveDoubleArrayComparison]; [SubjectUtils]; [SubjectUtils.NonHashingMultiset]; [JUnitComparisonFailure]; [Truth.SimpleAssertionError]; [GraphMatching]; [GraphMatching.HopcroftKarp]; [Subject.Factory]; [Subject.ComparisonResult]; [Subject.EqualityCheck]; [FailureMetadata.OldAndNewValuesAreSimilar]; [SortedMapSubject.SortedMapAsNavigableMap]; [Expect.TestPhase]; [SortedSetSubject.SortedSetAsNavigableSet]; [Platform.ComparisonFailureMessageStrategy]; [Platform.PlatformComparisonFailure]; [Platform.JUnitTestRule]; [CustomSubjectBuilder.Factory]; [PrimitiveFloatArraySubject.TolerantPrimitiveFloatArrayComparison]; [Platform]; [Platform.ComparisonFailureMessageStrategy]; [Platform.PlatformComparisonFailure]; [Platform.JUnitTestRule]; [Platform.NativeRegExp]; [Platform.Number]; [Platform.ToLocaleStringOptions]; [Platform.JavaLikeOptions]; [MapSubject.ValueTester]; [MapSubject.MapDifference]; [MapSubject.ValueDifference]; [MapSubject.TypedToStringWrapper]; [ExpectFailure.StandardSubjectBuilderCallback]; [ExpectFailure.SimpleSubjectBuilderCallback]; [FloatSubject.TolerantFloatComparison]; [IterableSubject.PairwiseChecker]; [IterableSubject.Pairer]; [IterableSubject.Pairing]; [MathUtil]; [FailureAssertions]. LCC (Lack of Component Cohesion) = 0.38
truth,com.google.common.truth.extension,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [EmployeeSubjectTest; Employee; FakeHrDatabase; FakeHrDatabaseTest; EmployeeSubjectTest; EmployeeSubject; HrDatabase; Employee; EmployeeSubject]; [Employee.Location]; [Employee.Location]. LCC (Lack of Component Cohesion) = 0.27
truth,com.google.common.truth.extensions.proto,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 80
truth,com.google.common.truth.extensions.proto,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ProtoSubjectTestBase; MultiExpectFailure; FieldScopesTest; MultimapWithProtoValuesSubjectTest; IterableOfProtosSubjectTest; OverloadResolutionTest; MapWithProtoValuesSubjectTest; ProtoSubjectTest; ProtoSubject; ProtoSubject.MessageSubject; FieldScope; MapWithProtoValuesFluentAssertion; IterableOfProtosFluentAssertion; ProtoSubjectBuilder; SetMultimapWithProtoValuesSubject; SetMultimapWithProtoValuesSubject.SetMultimapWithMessageValuesSubject; FieldScopeLogic; FieldScopeLogic.PartialScopeLogic; FieldScopeLogic.FieldMatcherLogicBase; FieldScopeLogic.CompoundFieldScopeLogic; FieldScopeUtil; IterableOfProtosUsingCorrespondence; FieldDescriptorOrUnknown; ProtoTruthMessageDifferencer; DiffResult; MapWithProtoValuesSubject; MapWithProtoValuesSubject.MapWithMessageValuesSubject; MapWithProtoValuesSubject.MapWithProtoValuesFluentAssertionImpl; MultimapWithProtoValuesSubject; MultimapWithProtoValuesSubject.MultimapWithMessageValuesSubject; MultimapWithProtoValuesSubject.MultimapWithProtoValuesFluentAssertionImpl; RecursableDiffEntity; RecursableDiffEntity.WithoutResultCode; RecursableDiffEntity.WithResultCode; FluentEqualityConfig; FieldNumberTree; ProtoFluentAssertion; ProtoTruth; FieldScopes; IterableOfProtosSubject; IterableOfProtosSubject.IterableOfMessagesSubject; IterableOfProtosSubject.UsingCorrespondence; IterableOfProtosSubject.IterableOfProtosFluentAssertionImpl; FieldScopeImpl; LiteProtoSubject; LiteProtoSubject.MessageLiteSubject; LiteProtoTruth; MultimapWithProtoValuesFluentAssertion; ListMultimapWithProtoValuesSubject; ListMultimapWithProtoValuesSubject.ListMultimapWithMessageValuesSubject; UnknownFieldDescriptor; DiffResult.SingularField; DiffResult.RepeatedField; DiffResult.PairResult; DiffResult.UnknownFieldSetDiff; MultimapWithProtoValuesSubject.IterableValuesForKey; LiteProtoSubjectTest]; [ProtoSubjectTestBase.TestType]; [ProtoSubjectBuilder.Factory]; [FieldScopeLogic.RootPartialScopeLogic]; [FieldScopeLogic.FieldNumbersLogic]; [FieldScopeLogic.FieldDescriptorsLogic]; [FieldScopeLogic.IntersectionFieldScopeLogic]; [FieldScopeLogic.UnionFieldScopeLogic]; [FieldScopeLogic.NegationFieldScopeLogic]; [UnknownFieldDescriptor.Type]; [ProtoTruthMessageDifferencer.ShouldIgnore]; [DiffResult.Builder]; [DiffResult.Builder]; [DiffResult.Builder]; [DiffResult.Builder]; [DiffResult.Builder]; [RecursableDiffEntity.Result]; [RecursableDiffEntity.Builder]; [FluentEqualityConfig.Builder]; [FieldNumberTree.Key]; [LiteProtoSubjectTest.Config]; [LiteProtoSubjectTest.Builder]; [LiteProtoSubject.Factory]; [LiteProtoSubject.MessageLiteSubjectFactory]. LCC (Lack of Component Cohesion) = 0.3
