Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactly_inOrder_success,4,1,0,736,1,,
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactly_failsExtraEntry,10,1,0,745,1,,
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactly_failsMissingEntry,10,1,0,762,1,,
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactly_failsWrongKey,10,1,0,781,1,,
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactly_failsWrongValue,10,1,0,800,1,,
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactly_inOrder_failsOutOfOrder,10,1,0,819,1,,
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactly_wrongValueTypeInActual,10,1,0,837,1,,
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactly_wrongValueTypeInExpected,10,1,0,849,1,,
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactlyEntriesIn_success,5,1,0,861,1,,
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactlyEntriesIn_inOrder_success,5,1,0,870,1,,
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactlyEntriesIn_failsExtraEntry,11,1,0,880,1,,
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactlyEntriesIn_failsMissingEntry,11,1,0,898,1,,
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactlyEntriesIn_failsWrongKey,11,1,0,918,1,,
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactlyEntriesIn_failsWrongValue,11,1,0,938,1,,
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactlyEntriesIn_inOrder_failsOutOfOrder,11,1,0,958,1,,
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactlyEntriesIn_wrongValueTypeInActual,11,1,0,977,1,,
truth,com.google.common.truth,ExpectFailureWithStackTraceTest,expectTwoFailures,4,1,0,37,1,com.google.common.truth.StringSubject,com.google.common.truth.StringSubject
truth,com.google.common.truth,SubjectFactoryReflectionTest,genericErasureWorkaround,9,1,0,35,1,com.google.common.truth.Subject,com.google.common.truth.Subject
truth,com.google.common.truth,SubjectFactoryReflectionTest,getSubject,3,1,2,39,0,,
truth,com.google.common.truth,SubjectFactoryReflectionTest,parameterizedSubject_shouldNotFail_Bug17658655,13,1,0,47,1,,
truth,com.google.common.truth,SubjectFactoryReflectionTest,getSubject,3,1,2,51,0,,
truth,com.google.common.truth,TruthAssertThatTest,apply,3,1,1,44,0,,
truth,com.google.common.truth,TruthAssertThatTest,staticAssertThatMethodsMatchTestVerbInstanceMethods,17,1,0,50,1,com.google.common.truth.Truth,com.google.common.truth.Truth
truth,com.google.common.truth,TruthAssertThatTest,apply,3,1,1,56,0,,
truth,com.google.common.truth,TruthAssertThatTest,apply,3,1,1,67,0,,
truth,com.google.common.truth,TruthAssertThatTest,festAlike,4,1,0,81,1,com.google.common.truth.StringSubject,com.google.common.truth.StringSubject; com.google.common.truth.BooleanSubject
truth,com.google.common.truth,RelabeledSubjectsTest,namedIncludesActualStringValue,11,1,0,34,1,com.google.common.truth.StringSubject,com.google.common.truth.StringSubject
truth,com.google.common.truth,RelabeledSubjectsTest,namedIncludesActualIntegerValue,11,1,0,46,1,com.google.common.truth.StringSubject,com.google.common.truth.StringSubject
truth,com.google.common.truth,RelabeledSubjectsTest,relabeledBooleans,9,1,0,58,1,com.google.common.truth.BooleanSubject,com.google.common.truth.BooleanSubject
truth,com.google.common.truth,RelabeledSubjectsTest,relabeledObject,10,1,0,69,1,com.google.common.truth.Subject,com.google.common.truth.Subject; com.google.common.truth.StringSubject
truth,com.google.common.truth,RelabeledSubjectsTest,relabelledCollections,9,1,0,81,1,,
truth,com.google.common.truth,RelabeledSubjectsTest,relabelledPrimitiveFloatArrays,11,1,0,94,1,,
truth,com.google.common.truth,CorrespondenceTest,compare,3,1,2,40,0,,
truth,com.google.common.truth,CorrespondenceTest,toString,3,1,0,45,0,,
truth,com.google.common.truth,CorrespondenceTest,testEquals_throws,8,1,0,51,1,,
truth,com.google.common.truth,CorrespondenceTest,testHashCode_throws,8,1,0,61,1,,
truth,com.google.common.truth,CorrespondenceTest,testTolerance_compare_doubles,12,1,0,74,1,,
truth,com.google.common.truth,CorrespondenceTest,testTolerance_compare_floats,12,1,0,89,1,,
truth,com.google.common.truth,CorrespondenceTest,testTolerance_compare_doublesVsInts,7,1,0,104,1,,
truth,com.google.common.truth,CorrespondenceTest,testTolerance_compare_negativeTolerance,9,1,0,113,1,,
truth,com.google.common.truth,CorrespondenceTest,testTolerance_compare_null,14,1,0,123,1,,
