Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
truth,com.google.common.truth,AutoValue_Expect_ExpectationFailure,AutoValue_Expect_ExpectationFailure,7,2,2,13,0,,
truth,com.google.common.truth,AutoValue_Expect_ExpectationFailure,message,3,1,0,23,0,,
truth,com.google.common.truth,AutoValue_Expect_ExpectationFailure,cause,3,1,0,28,0,,
truth,com.google.common.truth,AutoValue_Expect_ExpectationFailure,toString,3,1,0,34,0,,
truth,com.google.common.truth,AutoValue_Expect_ExpectationFailure,equals,10,3,1,42,0,,
truth,com.google.common.truth,AutoValue_Expect_ExpectationFailure,hashCode,8,1,0,55,0,,
truth,com.google.common.truth,SubjectFactoryReflectionTest,genericErasureWorkaround,9,1,0,36,1,com.google.common.truth.Subject,com.google.common.truth.Subject; com.google.common.truth.SubjectFactory
truth,com.google.common.truth,SubjectFactoryReflectionTest,getSubject,3,1,2,39,0,,
truth,com.google.common.truth,TruthAssertThatTest,apply,3,1,1,46,0,,
truth,com.google.common.truth,TruthAssertThatTest,staticAssertThatMethodsMatchTestVerbInstanceMethods,17,1,0,51,1,com.google.common.truth.Truth,com.google.common.truth.Truth
truth,com.google.common.truth,TruthAssertThatTest,apply,3,1,1,54,0,,
truth,com.google.common.truth,TruthAssertThatTest,apply,3,1,1,60,0,,
truth,com.google.common.truth,TruthAssertThatTest,festAlike,4,1,0,71,1,com.google.common.truth.StringSubject,com.google.common.truth.StringSubject; com.google.common.truth.BooleanSubject
truth,com.google.common.truth,SubjectPropertiesTest,testHasNoSuchField,9,1,0,33,1,com.google.common.truth.Subject,com.google.common.truth.Subject; com.google.common.truth.Truth; com.google.common.truth.StringSubject
truth,com.google.common.truth,SubjectPropertiesTest,testHasPublicField,3,1,0,43,1,com.google.common.truth.Subject,com.google.common.truth.Subject
truth,com.google.common.truth,SubjectPropertiesTest,testHasFieldWithNullSubject,10,1,0,47,1,com.google.common.truth.Subject,com.google.common.truth.Subject; com.google.common.truth.Truth; com.google.common.truth.StringSubject
truth,com.google.common.truth,SubjectPropertiesTest,testHasPublicFieldWithValue,3,1,0,58,1,com.google.common.truth.Subject,com.google.common.truth.Subject
truth,com.google.common.truth,SubjectPropertiesTest,testHasPublicFieldWithWrongValue,9,1,0,62,1,com.google.common.truth.Subject,com.google.common.truth.Subject; com.google.common.truth.Truth; com.google.common.truth.StringSubject
truth,com.google.common.truth,SubjectPropertiesTest,testHasPublicFieldWithNullValue,3,1,0,73,1,com.google.common.truth.Subject,com.google.common.truth.Subject
truth,com.google.common.truth,SubjectPropertiesTest,testHasPublicFieldWithWrongNullValue,9,1,0,77,1,com.google.common.truth.Subject,com.google.common.truth.Subject; com.google.common.truth.Truth; com.google.common.truth.StringSubject
