Project Name,Package Name,Architecture Smell,Cause of the Smell
truth,com.google.common.truth,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 90
truth,com.google.common.truth,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.common.truth; com.google.common.truth.codegen
truth,com.google.common.truth,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.google.common.truth.codegen
truth,com.google.common.truth,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AutoValue_Expect_ExpectationFailure; Expect; FailureStrategy; BooleanSubject; PrimitiveFloatArraySubject; MapSubject; PrimitiveIntArraySubject; IteratingVerb; TestVerb; ClassSubject; ReflectionUtil; IterableSubject; SubjectFactoryReflectionTest; StringSubject; SubjectFactory; Truth; Subject; DefaultSubject; LongSubject; PrimitiveLongArraySubject; ListSubject; OptionalSubject; ComparableSubject; IntegerSubject; PrimitiveByteArraySubject; AbstractVerb; AbstractVerb.DelegatedVerb; PrimitiveCharArraySubject; PrimitiveBooleanArraySubject; Platform; Platform; TruthAssertThatTest; SubjectPropertiesTest; CustomFailureMessageTest; AbstractVerbTest; IterationOverSubjectTest; CollectionTest; Ordered; IterableSubject.InOrder; LongTest; TruthJUnit; StringUtil; ComparableSubjectTest; ClassTest; AbstractArraySubjectTest.TestableStringArraySubject; AbstractArraySubject; PrimitiveDoubleArraySubject; MathUtil; AbstractArraySubjectTest.CapturingFailureStrategy; ExampleTest; IntegerTest; ExpectFailureTest; MathUtilTest; IterableTest; ExpectTest; StringTest; PlatformTest; ObjectArraySubject; CollectionSubject; Expect.ExpectationGatherer; AbstractVerb.MessagePrependingFailureStrategy]; [SubjectPropertiesTest.A]; [RelabeledSubjectsTest]; [PrimitiveCharArraySubjectTest]; [SubjectTest]; [SubjectTest.IntWrapper]; [ListTest]; [ComparableSubjectTest.ComparableType]; [ComparableSubjectTest.RawComparableType]; [ClassTest.A]; [AbstractArraySubjectTest]; [BooleanTest]; [ExpectFailureTest.FailingExpect]; [PrimitiveIntArraySubjectTest]; [PrimitiveBooleanArraySubjectTest]; [OptionalSubjectTest]; [PrimitiveDoubleArraySubjectTest]; [ObjectArraySubjectTest]; [PrimitiveLongArraySubjectTest]; [MapTest]; [PrimitiveByteArraySubjectTest]; [PrimitiveFloatArraySubjectTest]; [TruthJUnit.ThrowableAssumptionViolatedException]; [CollectionSubject.Has]; [SubjectUtils]; [Subject.HasField]; [ListSubject.PairwiseChecker]; [Expect.ExpectationFailure]; [FailureStrategy.ThrowableAssertionError]; [MapSubject.WithValue]. LCC (Lack of Component Cohesion) = 0.33
truth,com.google.common.truth.codegen,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.common.truth.codegen; com.google.common.truth
truth,com.google.common.truth.codegen,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [IteratingWrapperClassBuilderTest; BarSubject; IteratingWrapperClassBuilder]; [IteratingWrapperClassBuilderTest.FooSubject]; [CompilingClassLoader]; [CompilingClassLoader.CompilerException]; [CompilingClassLoader.InMemoryFileManager]; [CompilingClassLoader.InMemoryJavaFile]. LCC (Lack of Component Cohesion) = 0.75
