Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
truth,com.google.common.truth,AutoValue_Expect_ExpectationFailure,equals,Long Statement,The length of the statement "return this.message.equals(that.message()) && (this.cause == null ? that.cause() == null : this.cause.equals(that.cause()));" is 124.,42
truth,com.google.common.truth,AutoValue_Expect_ExpectationFailure,hashCode,Magic Number,The method contains a magic number: 1000003,55
truth,com.google.common.truth,AutoValue_Expect_ExpectationFailure,hashCode,Magic Number,The method contains a magic number: 1000003,55
truth,com.google.common.truth,TruthAssertThatTest,staticAssertThatMethodsMatchTestVerbInstanceMethods,Long Statement,The length of the statement "ImmutableSortedSet<TypeToken<?>> verbTypes=FluentIterable.from(asList(TestVerb.class.getMethods())).filter(new Predicate<Method>(){" is 131.,51
truth,com.google.common.truth,TruthAssertThatTest,staticAssertThatMethodsMatchTestVerbInstanceMethods,Long Statement,The length of the statement "ImmutableSortedSet<TypeToken<?>> truthTypes=FluentIterable.from(asList(Truth.class.getMethods())).filter(new Predicate<Method>(){" is 129.,51
truth,com.google.common.truth,SubjectPropertiesTest,testHasPublicFieldWithWrongValue,Long Statement,The length of the statement "assertThat(expected.getMessage()).is("Not true that <A>'s field <publicField> contains expected value " + "<wrongValue>. It contains value <aValue>");" is 150.,62
truth,com.google.common.truth,SubjectPropertiesTest,testHasPublicFieldWithWrongNullValue,Long Statement,The length of the statement "assertThat(expected.getMessage()).is("Not true that <A>'s field <publicField> contains expected value " + "<wrongValue>. It contains value <null>");" is 148.,77
truth,com.google.common.truth,RelabeledSubjectsTest,namedIncludesActualIntegerValue,Magic Number,The method contains a magic number: 13,48
truth,com.google.common.truth,RelabeledSubjectsTest,namedIncludesActualIntegerValue,Magic Number,The method contains a magic number: 12,48
truth,com.google.common.truth,RelabeledSubjectsTest,relabeledObject,Long Statement,The length of the statement "assertThat(expected.getMessage()).contains("Not true that \"Foo\" <\"a string\"> is an instance of <java.lang.Integer>");" is 121.,68
truth,com.google.common.truth,RelabeledSubjectsTest,relabelledCollections,Long Statement,The length of the statement "assertThat(expected.getMessage()).is("Not true that \"crazy list\" <[a` b` c]> contains all of <[c` d]>. " + "It is missing <[d]>");" is 132.,80
truth,com.google.common.truth,RelabeledSubjectsTest,relabelledPrimitiveFloatArrays,Magic Number,The method contains a magic number: 0.0000001f,91
truth,com.google.common.truth,SubjectTest,toStringsAreIdentical,Long Statement,The length of the statement "assertThat(expected.getMessage()).isEqualTo("Not true that <5> (java.lang.Integer) " + "is equal to <5> (com.google.common.truth.SubjectTest$IntWrapper)");" is 155.,46
truth,com.google.common.truth,SubjectTest,toStringsAreIdentical,Magic Number,The method contains a magic number: 5,46
truth,com.google.common.truth,SubjectTest,toStringsAreIdentical,Magic Number,The method contains a magic number: 5,46
truth,com.google.common.truth,SubjectTest,isSameAsFailureWithDifferentTypesAndSameToString,Long Statement,The length of the statement "assertThat(e.getMessage()).isEqualTo("Not true that <true> (java.lang.String) is the same" + " instance as <true> (java.lang.Boolean)");" is 136.,111
truth,com.google.common.truth,SubjectTest,isEqualToFailureWithDifferentTypesAndSameToString,Long Statement,The length of the statement "assertThat(e.getMessage()).isEqualTo("Not true that <true> (java.lang.String) is equal to" + " <true> (java.lang.Boolean)");" is 124.,257
truth,com.google.common.truth,SubjectTest,isAFail,Long Statement,The length of the statement "assertThat(e.getMessage()).isEqualTo("Not true that <4.5> is an instance of <java.lang.Long>." + " It is an instance of <java.lang.Double>");" is 141.,341
truth,com.google.common.truth,SubjectTest,isAFail,Magic Number,The method contains a magic number: 4.5,341
truth,com.google.common.truth,SubjectTest,isInstanceOfFail,Long Statement,The length of the statement "assertThat(e.getMessage()).isEqualTo("Not true that <4.5> is an instance of <java.lang.Long>." + " It is an instance of <java.lang.Double>");" is 141.,351
truth,com.google.common.truth,SubjectTest,isInstanceOfFail,Magic Number,The method contains a magic number: 4.5,351
truth,com.google.common.truth,SubjectTest,isNotAFail,Magic Number,The method contains a magic number: 5,366
truth,com.google.common.truth,SubjectTest,isNotInstanceOfFail,Magic Number,The method contains a magic number: 5,376
truth,com.google.common.truth,CustomFailureMessageTest,customMessageIsPrepended,Magic Number,The method contains a magic number: 13,39
truth,com.google.common.truth,CustomFailureMessageTest,customMessageIsPrepended,Magic Number,The method contains a magic number: 12,39
truth,com.google.common.truth,CustomFailureMessageTest,customMessageIsPrependedWithNamed,Magic Number,The method contains a magic number: 13,49
truth,com.google.common.truth,CustomFailureMessageTest,customMessageIsPrependedWithNamed,Magic Number,The method contains a magic number: 12,49
truth,com.google.common.truth,CustomFailureMessageTest,customMessage,Long Statement,The length of the statement "assertThat(expected.getMessage()).isEqualTo("This is a custom message: The subject was expected to be true` but was false");" is 124.,60
truth,com.google.common.truth,CustomFailureMessageTest,customMessageOnForEach,Long Statement,The length of the statement "assert_().withFailureMessage("This is a custom message").in(Arrays.asList("a1"`"b1"`"c1")).thatEach(STRING).contains("b");" is 122.,82
truth,com.google.common.truth,ListTest,listContainsSequenceWithEmptyList,Magic Number,The method contains a magic number: 2,36
truth,com.google.common.truth,ListTest,listContainsSequenceWithEmptyList,Magic Number,The method contains a magic number: 3,36
truth,com.google.common.truth,ListTest,listContainsSequenceAtEnd,Magic Number,The method contains a magic number: 2,44
truth,com.google.common.truth,ListTest,listContainsSequenceAtEnd,Magic Number,The method contains a magic number: 3,44
truth,com.google.common.truth,ListTest,listContainsSequenceAtEnd,Magic Number,The method contains a magic number: 2,44
truth,com.google.common.truth,ListTest,listContainsSequenceAtEnd,Magic Number,The method contains a magic number: 3,44
truth,com.google.common.truth,ListTest,listContainsSequenceAtStart,Magic Number,The method contains a magic number: 2,48
truth,com.google.common.truth,ListTest,listContainsSequenceAtStart,Magic Number,The method contains a magic number: 3,48
truth,com.google.common.truth,ListTest,listContainsSequenceAtStart,Magic Number,The method contains a magic number: 2,48
truth,com.google.common.truth,ListTest,listContainsSequenceWithManyFalseStarts,Magic Number,The method contains a magic number: 2,52
truth,com.google.common.truth,ListTest,listContainsSequenceWithManyFalseStarts,Magic Number,The method contains a magic number: 2,52
truth,com.google.common.truth,ListTest,listContainsSequenceWithManyFalseStarts,Magic Number,The method contains a magic number: 3,52
truth,com.google.common.truth,ListTest,listContainsSequenceWithManyFalseStarts,Magic Number,The method contains a magic number: 4,52
truth,com.google.common.truth,ListTest,listContainsSequenceWithManyFalseStarts,Magic Number,The method contains a magic number: 2,52
truth,com.google.common.truth,ListTest,listContainsSequenceWithManyFalseStarts,Magic Number,The method contains a magic number: 3,52
truth,com.google.common.truth,ListTest,listContainsSequenceTooShortFailure,Magic Number,The method contains a magic number: 2,56
truth,com.google.common.truth,ListTest,listContainsSequenceTooShortFailure,Magic Number,The method contains a magic number: 3,56
truth,com.google.common.truth,ListTest,listContainsSequenceTooShortFailure,Magic Number,The method contains a magic number: 2,56
truth,com.google.common.truth,ListTest,listContainsSequenceTooShortFailure,Magic Number,The method contains a magic number: 3,56
truth,com.google.common.truth,ListTest,listContainsSequenceTooShortFailure,Magic Number,The method contains a magic number: 4,56
truth,com.google.common.truth,ListTest,listContainsSequenceNotContiguousFailure,Magic Number,The method contains a magic number: 2,66
truth,com.google.common.truth,ListTest,listContainsSequenceNotContiguousFailure,Magic Number,The method contains a magic number: 2,66
truth,com.google.common.truth,ListTest,listContainsSequenceNotContiguousFailure,Magic Number,The method contains a magic number: 3,66
truth,com.google.common.truth,ListTest,listContainsSequenceNotContiguousFailure,Magic Number,The method contains a magic number: 2,66
truth,com.google.common.truth,ListTest,listContainsSequenceNotContiguousFailure,Magic Number,The method contains a magic number: 3,66
truth,com.google.common.truth,ListTest,listIsOrdered,Magic Number,The method contains a magic number: 2,76
truth,com.google.common.truth,ListTest,listIsOrdered,Magic Number,The method contains a magic number: 3,76
truth,com.google.common.truth,ListTest,listIsOrdered,Magic Number,The method contains a magic number: 4,76
truth,com.google.common.truth,ListTest,isOrderedFailure,Magic Number,The method contains a magic number: 2,82
