Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
truth,org.truth0,AbstractVerbTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.truth0.AbstractVerb
truth,org.truth0,AbstractVerbTest,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: strings
truth,org.truth0,ExampleTest,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ints
truth,org.truth0,ExpectFailureTest.FailingExpect,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
truth,org.truth0,Truth,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: THROW_ASSERTION_ERROR; ASSERT
truth,org.truth0,AbstractVerb.DelegatedVerb,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
truth,org.truth0,TestVerb,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
truth,org.truth0,Truth,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: THROW_ASSERTION_ERROR; THROW_ASSUMPTION_ERROR; ASSERT; ASSUME
truth,org.truth0,AbstractVerb.DelegatedVerb,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
truth,org.truth0,FailureStrategy.ThrowableAssertionError,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
truth,org.truth0,IteratingVerb,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.truth0.codegen.IteratingWrapperClassBuilder
truth,org.truth0,TestVerb,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
truth,org.truth0.gwt,TruthGwtTest,Law of Demeter violation,The tool detected the smell in this method (testCollection) because the method voilates the law of Demeter. The long chain of method invocations is : org.truth0.subjects.CollectionSubject.has; org.truth0.subjects.Ordered.inOrder
truth,org.truth0.gwt,TruthGwtTest,Law of Demeter violation,The tool detected the smell in this method (testList) because the method voilates the law of Demeter. The long chain of method invocations is : org.truth0.subjects.CollectionSubject.has; org.truth0.subjects.Ordered.inOrder
truth,org.truth0.gwt,TruthGwtTest,Law of Demeter violation,The tool detected the smell in this method (testDefault) because the method voilates the law of Demeter. The long chain of method invocations is : org.truth0.TestVerb.that; org.truth0.subjects.Subject.isNotNull
truth,org.truth0.codegen,IteratingWrapperClassBuilderTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.truth0.codegen.IteratingWrapperClassBuilder
truth,org.truth0.codegen,IteratingWrapperClassBuilderTest,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: FOO
truth,org.truth0.codegen,IteratingWrapperClassBuilderTest.FooSubject,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
truth,org.truth0.codegen,IteratingWrapperClassBuilderTest.FooSubject,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: FOO
truth,org.truth0.codegen,BarSubject,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: BAR
truth,org.truth0.codegen,CompilingClassLoader.CompilerException,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
truth,org.truth0.delegatetest,FooSubject,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: FOO
truth,org.truth0.subjects,SubjectPropertiesTest.A,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
truth,org.truth0.subjects,SubjectTest,Law of Demeter violation,The tool detected the smell in this method (identityOfNulls) because the method voilates the law of Demeter. The long chain of method invocations is : org.truth0.TestVerb.that; org.truth0.subjects.Subject.is
truth,org.truth0.subjects,SubjectTest,Law of Demeter violation,The tool detected the smell in this method (identityOfNullsFailure) because the method voilates the law of Demeter. The long chain of method invocations is : org.truth0.TestVerb.that; org.truth0.subjects.Subject.is
truth,org.truth0.subjects,SubjectTest,Law of Demeter violation,The tool detected the smell in this method (identityOfObject) because the method voilates the law of Demeter. The long chain of method invocations is : org.truth0.TestVerb.that; org.truth0.subjects.Subject.is
truth,org.truth0.subjects,SubjectTest,Law of Demeter violation,The tool detected the smell in this method (identityOfObjectFailure) because the method voilates the law of Demeter. The long chain of method invocations is : org.truth0.TestVerb.that; org.truth0.subjects.Subject.is
truth,org.truth0.subjects,SubjectTest,Law of Demeter violation,The tool detected the smell in this method (identityOfObjectFailureWithComparableObjects) because the method voilates the law of Demeter. The long chain of method invocations is : org.truth0.TestVerb.that; org.truth0.subjects.Subject.is
truth,org.truth0.subjects,SubjectTest,Law of Demeter violation,The tool detected the smell in this method (isNull) because the method voilates the law of Demeter. The long chain of method invocations is : org.truth0.TestVerb.that; org.truth0.subjects.Subject.isNull
truth,org.truth0.subjects,SubjectTest,Law of Demeter violation,The tool detected the smell in this method (isNullFail) because the method voilates the law of Demeter. The long chain of method invocations is : org.truth0.TestVerb.that; org.truth0.subjects.Subject.isNull
truth,org.truth0.subjects,SubjectTest,Law of Demeter violation,The tool detected the smell in this method (isNotNull) because the method voilates the law of Demeter. The long chain of method invocations is : org.truth0.TestVerb.that; org.truth0.subjects.Subject.isNotNull
truth,org.truth0.subjects,SubjectTest,Law of Demeter violation,The tool detected the smell in this method (isNotNullFail) because the method voilates the law of Demeter. The long chain of method invocations is : org.truth0.TestVerb.that; org.truth0.subjects.Subject.isNotNull
truth,org.truth0.subjects,SubjectTest,Law of Demeter violation,The tool detected the smell in this method (equalityOfNulls) because the method voilates the law of Demeter. The long chain of method invocations is : org.truth0.TestVerb.that; org.truth0.subjects.Subject.isEqualTo
truth,org.truth0.subjects,SubjectTest,Law of Demeter violation,The tool detected the smell in this method (equalityOfNullsFailure) because the method voilates the law of Demeter. The long chain of method invocations is : org.truth0.TestVerb.that; org.truth0.subjects.Subject.isEqualTo
truth,org.truth0.subjects,SubjectTest,Law of Demeter violation,The tool detected the smell in this method (equalityOfObjectBasedOnIdentity) because the method voilates the law of Demeter. The long chain of method invocations is : org.truth0.TestVerb.that; org.truth0.subjects.Subject.isEqualTo
truth,org.truth0.subjects,SubjectTest,Law of Demeter violation,The tool detected the smell in this method (equalityOfObjectFailure) because the method voilates the law of Demeter. The long chain of method invocations is : org.truth0.TestVerb.that; org.truth0.subjects.Subject.isEqualTo
truth,org.truth0.subjects,SubjectTest,Law of Demeter violation,The tool detected the smell in this method (equalityOfComparableObjects) because the method voilates the law of Demeter. The long chain of method invocations is : org.truth0.TestVerb.that; org.truth0.subjects.Subject.isEqualTo
truth,org.truth0.subjects,SubjectTest,Law of Demeter violation,The tool detected the smell in this method (equalityOfComparableObjectsFailure) because the method voilates the law of Demeter. The long chain of method invocations is : org.truth0.TestVerb.that; org.truth0.subjects.Subject.isEqualTo
truth,org.truth0.subjects,SubjectTest,Law of Demeter violation,The tool detected the smell in this method (inequalityOfNulls) because the method voilates the law of Demeter. The long chain of method invocations is : org.truth0.TestVerb.that; org.truth0.subjects.Subject.isNotEqualTo
truth,org.truth0.subjects,SubjectTest,Law of Demeter violation,The tool detected the smell in this method (inequalityOfNullsFailure) because the method voilates the law of Demeter. The long chain of method invocations is : org.truth0.TestVerb.that; org.truth0.subjects.Subject.isNotEqualTo
truth,org.truth0.subjects,SubjectTest,Law of Demeter violation,The tool detected the smell in this method (inequalityOfObjectBasedOnIdentity) because the method voilates the law of Demeter. The long chain of method invocations is : org.truth0.TestVerb.that; org.truth0.subjects.Subject.isNotEqualTo
truth,org.truth0.subjects,SubjectTest,Law of Demeter violation,The tool detected the smell in this method (inequalityOfObjectFailure) because the method voilates the law of Demeter. The long chain of method invocations is : org.truth0.TestVerb.that; org.truth0.subjects.Subject.isNotEqualTo
truth,org.truth0.subjects,SubjectTest,Law of Demeter violation,The tool detected the smell in this method (inequalityOfComparableObjects) because the method voilates the law of Demeter. The long chain of method invocations is : org.truth0.TestVerb.that; org.truth0.subjects.Subject.isNotEqualTo
truth,org.truth0.subjects,SubjectTest,Law of Demeter violation,The tool detected the smell in this method (inequalityOfComparableObjectsFailure) because the method voilates the law of Demeter. The long chain of method invocations is : org.truth0.TestVerb.that; org.truth0.subjects.Subject.isNotEqualTo
truth,org.truth0.subjects,CollectionTest,Law of Demeter violation,The tool detected the smell in this method (collectionHasAllOfInOrder) because the method voilates the law of Demeter. The long chain of method invocations is : org.truth0.subjects.CollectionSubject.has; org.truth0.subjects.Ordered.inOrder
truth,org.truth0.subjects,CollectionTest,Law of Demeter violation,The tool detected the smell in this method (collectionHasAllOfInOrderWithNull) because the method voilates the law of Demeter. The long chain of method invocations is : org.truth0.subjects.CollectionSubject.has; org.truth0.subjects.Ordered.inOrder
truth,org.truth0.subjects,CollectionTest,Law of Demeter violation,The tool detected the smell in this method (collectionHasAllOfInOrderWithFailure) because the method voilates the law of Demeter. The long chain of method invocations is : org.truth0.subjects.CollectionSubject.has; org.truth0.subjects.Ordered.inOrder
truth,org.truth0.subjects,CollectionTest,Law of Demeter violation,The tool detected the smell in this method (collectionHasExactlyInOrder) because the method voilates the law of Demeter. The long chain of method invocations is : org.truth0.subjects.CollectionSubject.has; org.truth0.subjects.Ordered.inOrder
truth,org.truth0.subjects,CollectionTest,Law of Demeter violation,The tool detected the smell in this method (collectionHasExactlyInOrderWithNull) because the method voilates the law of Demeter. The long chain of method invocations is : org.truth0.subjects.CollectionSubject.has; org.truth0.subjects.Ordered.inOrder
truth,org.truth0.subjects,CollectionTest,Law of Demeter violation,The tool detected the smell in this method (collectionHasExactlyInOrderWithFailure) because the method voilates the law of Demeter. The long chain of method invocations is : org.truth0.subjects.CollectionSubject.has; org.truth0.subjects.Ordered.inOrder
truth,org.truth0.subjects,ClassTest.A,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
truth,org.truth0.subjects,StringSubject,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: STRING
truth,org.truth0.subjects,Subject.HasField,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
truth,org.truth0.subjects,IntegerSubject,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: INTEGER
truth,org.truth0.extensiontest,ExtendedVerb,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ASSERT
