Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
truth,org.truth0,AbstractVerbTest,3,1,3,3,22,3,0,0,0.0,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/test/java/org/truth0/AbstractVerbTest.java,27
truth,org.truth0,IterationOverSubjectTest,0,0,3,2,39,5,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/test/java/org/truth0/IterationOverSubjectTest.java,29
truth,org.truth0,ExampleTest,2,2,6,6,35,6,0,0,1.0,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/test/java/org/truth0/ExampleTest.java,34
truth,org.truth0,ExpectFailureTest,1,1,4,4,40,4,0,0,0.0,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/test/java/org/truth0/ExpectFailureTest.java,29
truth,org.truth0,ExpectFailureTest.FailingExpect,0,0,0,0,20,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/test/java/org/truth0/ExpectFailureTest.java,57
truth,org.truth0,ExpectTest,4,1,4,4,34,4,0,0,0.0,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/test/java/org/truth0/ExpectTest.java,28
truth,org.truth0,Truth,2,2,2,2,17,2,0,0,1.0,1,3,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/org/truth0/gwtemul/org/truth0/Truth.java,26
truth,org.truth0,AbstractVerb,2,0,5,4,43,5,5,0,0.0,1,2,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/org/truth0/gwtemul/org/truth0/AbstractVerb.java,6
truth,org.truth0,AbstractVerb.DelegatedVerb,1,0,0,0,13,0,0,1,-1.0,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/org/truth0/gwtemul/org/truth0/AbstractVerb.java,45
truth,org.truth0,TestVerb,0,0,11,11,35,11,2,1,-1.0,4,9,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/org/truth0/gwtemul/org/truth0/TestVerb.java,36
truth,org.truth0,Truth,4,4,4,4,33,4,0,0,1.0,0,3,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/org/truth0/Truth.java,27
truth,org.truth0,Truth.ThrowableAssumptionViolatedException,0,0,0,0,6,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/org/truth0/Truth.java,86
truth,org.truth0,Expect,3,0,5,3,64,12,0,2,0.4,4,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/org/truth0/Expect.java,34
truth,org.truth0,Expect.ExpectationGatherer,1,0,0,0,12,0,0,1,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/org/truth0/Expect.java,36
truth,org.truth0,Expect.ExpectationFailure,0,0,0,0,12,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/org/truth0/Expect.java,54
truth,org.truth0,AbstractVerb,2,0,6,5,46,6,0,0,0.5,0,3,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/org/truth0/AbstractVerb.java,11
truth,org.truth0,AbstractVerb.DelegatedVerb,1,0,0,0,13,0,0,1,-1.0,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/org/truth0/AbstractVerb.java,52
truth,org.truth0,FailureStrategy,0,0,3,3,17,3,1,0,-1.0,26,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/org/truth0/FailureStrategy.java,25
truth,org.truth0,FailureStrategy.ThrowableAssertionError,0,0,0,0,6,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/org/truth0/FailureStrategy.java,40
truth,org.truth0,IteratingVerb,3,0,6,3,67,6,0,1,0.3333333333333333,1,4,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/org/truth0/IteratingVerb.java,20
truth,org.truth0,TestVerb,0,0,12,12,38,12,0,1,-1.0,0,10,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/org/truth0/TestVerb.java,40
truth,org.truth0.gwt,TruthGwtTest,0,0,8,8,45,8,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/test/java/org/truth0/gwt/TruthGwtTest.java,26
truth,org.truth0.codegen,IteratingWrapperClassBuilderTest,8,1,2,2,49,2,0,0,0.0,0,3,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/test/java/org/truth0/codegen/IteratingWrapperClassBuilderTest.java,28
truth,org.truth0.codegen,IteratingWrapperClassBuilderTest.FooSubject,1,1,0,0,16,0,0,1,-1.0,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/test/java/org/truth0/codegen/IteratingWrapperClassBuilderTest.java,103
truth,org.truth0.codegen,BarSubject,1,1,3,3,19,4,0,1,1.0,1,2,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/test/java/org/truth0/codegen/BarSubject.java,25
truth,org.truth0.codegen,CompilingClassLoader,4,0,3,2,102,5,0,0,0.6666666666666666,1,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/org/truth0/codegen/CompilingClassLoader.java,25
truth,org.truth0.codegen,CompilingClassLoader.CompilerException,1,0,0,0,9,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/org/truth0/codegen/CompilingClassLoader.java,65
truth,org.truth0.codegen,CompilingClassLoader.InMemoryFileManager,0,0,0,0,23,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/org/truth0/codegen/CompilingClassLoader.java,146
truth,org.truth0.codegen,CompilingClassLoader.InMemoryJavaFile,1,0,0,0,18,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/org/truth0/codegen/CompilingClassLoader.java,180
truth,org.truth0.codegen,IteratingWrapperClassBuilder,6,1,6,2,75,16,0,0,0.0,2,2,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/main/java/org/truth0/codegen/IteratingWrapperClassBuilder.java,17
truth,org.truth0.delegatetest,DelegationTest,0,0,2,2,18,2,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/test/java/org/truth0/delegatetest/DelegationTest.java,24
truth,org.truth0.delegatetest,Foo,1,0,1,1,10,1,0,0,0.0,1,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/test/java/org/truth0/delegatetest/Foo.java,19
truth,org.truth0.delegatetest,FooSubject,1,1,3,3,20,4,0,1,1.0,0,3,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/test/java/org/truth0/delegatetest/FooSubject.java,23
truth,org.truth0.subjects,SubjectFactoryReflectionTest,0,0,2,2,15,2,0,0,-1.0,0,3,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/test/java/org/truth0/subjects/SubjectFactoryReflectionTest.java,28
truth,org.truth0.subjects,SubjectPropertiesTest,2,1,10,10,77,10,0,0,1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/test/java/org/truth0/subjects/SubjectPropertiesTest.java,25
truth,org.truth0.subjects,SubjectPropertiesTest.A,2,1,0,0,10,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/test/java/org/truth0/subjects/SubjectPropertiesTest.java,106
truth,org.truth0.subjects,SubjectTest,0,0,30,30,217,30,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/test/java/org/truth0/subjects/SubjectTest.java,27
truth,org.truth0.subjects,ListTest,1,0,18,18,123,18,0,0,0.8333333333333334,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/test/java/org/truth0/subjects/ListTest.java,28
truth,org.truth0.subjects,CollectionTest,0,0,44,42,313,44,0,0,-1.0,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/test/java/org/truth0/subjects/CollectionTest.java,31
truth,org.truth0.subjects,ClassTest,2,1,4,4,41,4,0,0,1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/test/java/org/truth0/subjects/ClassTest.java,25
truth,org.truth0.subjects,ClassTest.A,2,1,0,0,10,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/test/java/org/truth0/subjects/ClassTest.java,62
truth,org.truth0.subjects,IntegerTest,1,1,16,16,126,16,0,0,0.9375,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/test/java/org/truth0/subjects/IntegerTest.java,30
truth,org.truth0.subjects,BooleanTest,0,0,4,4,30,4,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/src/test/java/org/truth0/subjects/BooleanTest.java,26
