Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
truth,com.google.common.truth,MapSubjectTest,1,0,148,147,1089,148,0,2,0.34459459459459457,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/MapSubjectTest.java,35
truth,com.google.common.truth,ExpectWithStackTest,5,1,12,9,99,15,0,0,0.5,1,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/ExpectWithStackTest.java,29
truth,com.google.common.truth,ExpectWithStackTest.TestRuleVerifier,2,0,0,0,23,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/ExpectWithStackTest.java,124
truth,com.google.common.truth,ExpectWithStackTest.ErrorVerifier,0,0,0,0,3,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/ExpectWithStackTest.java,151
truth,com.google.common.truth,ExpectFailureWithStackTraceTest,3,1,1,1,36,1,0,0,0.0,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/ExpectFailureWithStackTraceTest.java,28
truth,com.google.common.truth,ExpectFailureWithStackTraceTest.FailingExpect,1,0,0,0,25,0,0,0,-1.0,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/ExpectFailureWithStackTraceTest.java,41
truth,com.google.common.truth,TruthAssertThatTest,1,0,4,4,29,4,0,0,1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/TruthAssertThatTest.java,34
truth,com.google.common.truth,TruthFailureSubjectTest,0,0,21,17,96,21,0,2,-1.0,0,5,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/TruthFailureSubjectTest.java,30
truth,com.google.common.truth,CorrespondenceTest,6,0,60,60,332,60,0,2,0.5,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/CorrespondenceTest.java,32
truth,com.google.common.truth,CorrespondenceExceptionStoreTest,0,0,8,6,61,8,0,2,-1.0,1,3,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/CorrespondenceExceptionStoreTest.java,26
truth,com.google.common.truth,PrimitiveCharArraySubjectTest,0,0,12,10,51,12,0,2,-1.0,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/PrimitiveCharArraySubjectTest.java,24
truth,com.google.common.truth,IterableSubjectCorrespondenceTest,1,0,101,101,726,103,0,2,0.9900990099009901,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/IterableSubjectCorrespondenceTest.java,44
truth,com.google.common.truth,IterableSubjectCorrespondenceTest.CountsToStringCalls,1,0,0,0,7,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/IterableSubjectCorrespondenceTest.java,2036
truth,com.google.common.truth,StringSubjectTest,0,0,78,77,329,78,0,2,-1.0,0,3,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/StringSubjectTest.java,28
truth,com.google.common.truth,TestCorrespondences,14,0,17,12,222,24,0,0,0.6470588235294118,2,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/TestCorrespondences.java,28
truth,com.google.common.truth,TestCorrespondences.Record,2,0,0,0,64,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/TestCorrespondences.java,135
truth,com.google.common.truth,SubjectTest,3,0,89,87,544,97,0,2,0.9213483146067416,0,5,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/SubjectTest.java,49
truth,com.google.common.truth,SubjectTest.IntWrapper,1,0,0,0,6,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/SubjectTest.java,179
truth,com.google.common.truth,SubjectTest.ThrowsOnEqualsNull,0,0,0,0,6,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/SubjectTest.java,767
truth,com.google.common.truth,SubjectTest.ThrowsOnEquals,0,0,0,0,5,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/SubjectTest.java,777
truth,com.google.common.truth,SubjectTest.ForbidsEqualityChecksSubject,0,0,0,0,11,0,0,1,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/SubjectTest.java,787
truth,com.google.common.truth,CustomFailureMessageTest,0,0,8,8,62,8,0,2,-1.0,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/CustomFailureMessageTest.java,27
truth,com.google.common.truth,StackTraceCleanerTest,0,0,26,21,178,29,0,2,-1.0,1,3,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/StackTraceCleanerTest.java,28
truth,com.google.common.truth,StackTraceCleanerTest.SomeStatement,0,0,0,0,2,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/StackTraceCleanerTest.java,311
truth,com.google.common.truth,StackTraceCleanerTest.SomeRunner,0,0,0,0,2,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/StackTraceCleanerTest.java,313
truth,com.google.common.truth,StackTraceCleanerTest.SelfReferencingThrowable,0,0,0,0,8,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/StackTraceCleanerTest.java,456
truth,com.google.common.truth,NoJUnitTest,0,0,2,1,20,2,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/NoJUnitTest.java,23
truth,com.google.common.truth,ComparableSubjectTest,3,0,16,15,153,16,0,2,1.0,0,2,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/ComparableSubjectTest.java,30
truth,com.google.common.truth,ComparableSubjectTest.StringComparedByLength,1,0,0,0,12,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/ComparableSubjectTest.java,99
truth,com.google.common.truth,ComparableSubjectTest.ComparableType,1,0,0,0,9,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/ComparableSubjectTest.java,206
truth,com.google.common.truth,ComparableSubjectTest.RawComparableType,1,0,0,0,12,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/ComparableSubjectTest.java,224
truth,com.google.common.truth,MultisetSubjectTest,0,0,3,2,21,3,0,2,-1.0,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/MultisetSubjectTest.java,27
truth,com.google.common.truth,ClassSubjectTest,0,0,5,4,24,5,0,2,-1.0,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/ClassSubjectTest.java,24
truth,com.google.common.truth,ComparisonFailureWithFactsTest,0,0,26,24,120,26,0,0,-1.0,1,4,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/ComparisonFailureWithFactsTest.java,33
truth,com.google.common.truth,TestPlatform,0,0,1,0,5,1,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/TestPlatform.java,19
truth,com.google.common.truth,ActualValueInferenceTest,0,0,24,9,143,25,0,0,-1.0,1,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/ActualValueInferenceTest.java,28
truth,com.google.common.truth,BaseSubjectTestCase,0,0,4,0,17,4,68,1,-1.0,0,2,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/BaseSubjectTestCase.java,20
truth,com.google.common.truth,BigDecimalSubjectTest,0,0,7,6,47,7,0,2,-1.0,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/BigDecimalSubjectTest.java,26
truth,com.google.common.truth,FloatSubjectTest,7,0,58,44,455,58,0,2,0.3103448275862069,1,6,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/FloatSubjectTest.java,31
truth,com.google.common.truth,TableSubjectTest,0,0,17,15,97,17,0,2,-1.0,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/TableSubjectTest.java,29
truth,com.google.common.truth,ExpectFailureRuleTest,2,2,6,5,30,6,0,0,0.3333333333333333,1,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/ExpectFailureRuleTest.java,27
truth,com.google.common.truth,ComparableSubjectCompileTest,0,0,2,2,14,2,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/ComparableSubjectCompileTest.java,27
truth,com.google.common.truth,ExpectFailureTest,2,0,13,12,115,13,0,0,0.3076923076923077,0,5,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/ExpectFailureTest.java,27
truth,com.google.common.truth,ExpectFailureTest.BadSubject,1,0,0,0,21,0,0,1,-1.0,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/ExpectFailureTest.java,143
truth,com.google.common.truth,PrimitiveIntArraySubjectTest,1,0,19,17,79,19,0,2,0.5263157894736842,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/PrimitiveIntArraySubjectTest.java,25
truth,com.google.common.truth,IntegerSubjectTest,1,0,28,26,178,34,0,2,0.5357142857142857,0,5,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/IntegerSubjectTest.java,25
truth,com.google.common.truth,ThrowableSubjectTest,0,0,15,13,72,15,0,2,-1.0,1,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/ThrowableSubjectTest.java,26
truth,com.google.common.truth,PrimitiveBooleanArraySubjectTest,0,0,12,10,45,12,0,2,-1.0,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/PrimitiveBooleanArraySubjectTest.java,24
truth,com.google.common.truth,FactTest,0,0,9,9,32,9,0,0,-1.0,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/FactTest.java,29
truth,com.google.common.truth,TestPlatform,0,0,1,0,5,1,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/super/com/google/common/truth/TestPlatform.java,19
truth,com.google.common.truth,PlatformBaseSubjectTestCase,1,0,2,2,10,2,2,0,0.0,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/super/com/google/common/truth/PlatformBaseSubjectTestCase.java,21
truth,com.google.common.truth,BooleanSubjectTest,0,0,7,6,35,7,0,2,-1.0,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/BooleanSubjectTest.java,24
truth,com.google.common.truth,PrimitiveDoubleArraySubjectTest,8,0,64,62,302,64,0,2,0.3125,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/PrimitiveDoubleArraySubjectTest.java,32
truth,com.google.common.truth,ObjectArraySubjectTest,1,0,40,36,173,40,0,2,0.425,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/ObjectArraySubjectTest.java,27
truth,com.google.common.truth,MathUtilTest,0,0,5,5,54,5,0,0,-1.0,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/MathUtilTest.java,27
truth,com.google.common.truth,GraphMatchingTest,6,0,13,11,315,26,0,0,0.46153846153846156,1,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/GraphMatchingTest.java,40
truth,com.google.common.truth,GraphMatchingTest.TestInstance,6,0,0,0,213,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/GraphMatchingTest.java,156
truth,com.google.common.truth,GraphMatchingTest.Matching,4,0,0,0,135,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/GraphMatchingTest.java,264
truth,com.google.common.truth,GraphMatchingTest.Edge,2,0,0,0,70,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/GraphMatchingTest.java,347
truth,com.google.common.truth,PrimitiveLongArraySubjectTest,0,0,12,10,51,12,0,2,-1.0,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/PrimitiveLongArraySubjectTest.java,24
truth,com.google.common.truth,ExpectTest,7,1,21,20,169,25,0,0,0.0,0,2,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/ExpectTest.java,40
truth,com.google.common.truth,PrimitiveShortArraySubjectTest,0,0,14,11,55,14,0,2,-1.0,1,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/PrimitiveShortArraySubjectTest.java,24
truth,com.google.common.truth,ExpectFailureNonRuleTest,2,0,5,4,71,5,0,0,1.0,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/ExpectFailureNonRuleTest.java,32
truth,com.google.common.truth,ExpectFailureNonRuleTest.ExpectFailureThrowInSubject,1,0,0,0,16,0,0,0,-1.0,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/ExpectFailureNonRuleTest.java,84
truth,com.google.common.truth,ExpectFailureNonRuleTest.ExpectFailureThrowAfterSubject,1,0,0,0,17,0,0,0,-1.0,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/ExpectFailureNonRuleTest.java,108
truth,com.google.common.truth,PlatformBaseSubjectTestCase,1,1,0,0,6,0,0,0,-1.0,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/PlatformBaseSubjectTestCase.java,20
truth,com.google.common.truth,DoubleSubjectTest,7,0,56,42,446,56,0,2,0.32142857142857145,1,6,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/DoubleSubjectTest.java,31
truth,com.google.common.truth,LongSubjectTest,0,0,19,18,73,19,0,2,-1.0,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/LongSubjectTest.java,24
truth,com.google.common.truth,ChainingTest,2,0,27,23,154,27,0,2,0.07407407407407407,0,2,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/ChainingTest.java,27
truth,com.google.common.truth,ChainingTest.MyObjectSubject,1,0,0,0,38,0,0,1,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/ChainingTest.java,226
truth,com.google.common.truth,IterableSubjectTest,5,0,150,149,763,150,0,2,0.41333333333333333,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/IterableSubjectTest.java,35
truth,com.google.common.truth,IterableSubjectTest.HashCodeThrower,0,0,0,0,11,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/IterableSubjectTest.java,667
truth,com.google.common.truth,IterableSubjectTest.Foo,1,0,0,0,6,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/IterableSubjectTest.java,1118
truth,com.google.common.truth,IterableSubjectTest.Bar,0,0,0,0,5,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/IterableSubjectTest.java,1126
truth,com.google.common.truth,IterableSubjectTest.CountsToStringCalls,1,0,0,0,7,0,0,0,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/IterableSubjectTest.java,1199
truth,com.google.common.truth,GuavaOptionalSubjectTest,0,0,11,10,53,11,0,2,-1.0,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/GuavaOptionalSubjectTest.java,26
truth,com.google.common.truth,PrimitiveByteArraySubjectTest,3,0,12,10,56,12,0,2,0.16666666666666666,0,2,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/PrimitiveByteArraySubjectTest.java,24
truth,com.google.common.truth,PrimitiveFloatArraySubjectTest,9,0,62,60,309,62,0,2,0.3064516129032258,0,2,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/PrimitiveFloatArraySubjectTest.java,34
truth,com.google.common.truth,MultimapSubjectTest,0,0,133,132,911,133,0,2,-1.0,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/MultimapSubjectTest.java,36
truth,com.google.common.truth,StandardSubjectBuilderTest,0,0,1,1,9,1,0,2,-1.0,0,0,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/test-classes/com/google/common/truth/StandardSubjectBuilderTest.java,24
truth,com.google.common.truth,AutoValue_ActualValueInference_OpaqueEntry,1,0,4,2,28,7,0,0,0.0,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/generated-sources/annotations/com/google/common/truth/AutoValue_ActualValueInference_OpaqueEntry.java,7
truth,com.google.common.truth,AutoValue_ActualValueInference_SubjectEntry,2,0,5,2,38,9,0,0,0.0,0,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/generated-sources/annotations/com/google/common/truth/AutoValue_ActualValueInference_SubjectEntry.java,7
truth,com.google.common.truth,AutoValue_ActualValueInference_Invocation,8,0,8,3,83,10,0,0,0.0,2,1,/Users/ishan/Desktop/CODE-SMELL-ASSIGNMENT/./truth/core/target/generated-sources/annotations/com/google/common/truth/AutoValue_ActualValueInference_Invocation.java,7
