Project Name,Package Name,Architecture Smell,Cause of the Smell
truth,com.google.common.truth,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 307
truth,com.google.common.truth,God Component,The tool detected the smell in this component because the component contains high number of LOC (Lines Of Code). The total LOC of the component: 32913
truth,com.google.common.truth,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [MapSubjectTest; BaseSubjectTestCase; BigDecimalSubjectTest; FloatSubjectTest; TableSubjectTest; PrimitiveIntArraySubjectTest; IntegerSubjectTest; ThrowableSubjectTest; PrimitiveBooleanArraySubjectTest; PlatformBaseSubjectTestCase; BooleanSubjectTest; PrimitiveDoubleArraySubjectTest; ObjectArraySubjectTest; PrimitiveLongArraySubjectTest; PrimitiveShortArraySubjectTest; DoubleSubjectTest; LongSubjectTest; ChainingTest; IterableSubjectTest; GuavaOptionalSubjectTest; PrimitiveByteArraySubjectTest; PrimitiveFloatArraySubjectTest; MultimapSubjectTest; StandardSubjectBuilderTest; MapSubjectTest; TruthFailureSubjectTest; CorrespondenceTest; CorrespondenceExceptionStoreTest; PrimitiveCharArraySubjectTest; IterableSubjectCorrespondenceTest; StringSubjectTest; SubjectTest; CustomFailureMessageTest; StackTraceCleanerTest; ComparableSubjectTest; MultisetSubjectTest; ClassSubjectTest; BaseSubjectTestCase; BigDecimalSubjectTest; FloatSubjectTest; TableSubjectTest; PrimitiveIntArraySubjectTest; IntegerSubjectTest; ThrowableSubjectTest; PrimitiveBooleanArraySubjectTest; BooleanSubjectTest; PrimitiveDoubleArraySubjectTest; ObjectArraySubjectTest; PrimitiveLongArraySubjectTest; PrimitiveShortArraySubjectTest; DoubleSubjectTest; LongSubjectTest; ChainingTest; IterableSubjectTest; GuavaOptionalSubjectTest; PrimitiveByteArraySubjectTest; PrimitiveFloatArraySubjectTest; MultimapSubjectTest; StandardSubjectBuilderTest; StackTraceCleaner; PrimitiveShortArraySubject; ObjectArraySubject; TruthJUnit; DoubleSubject; ThrowableSubject; StringSubject; AbstractArraySubject; PrimitiveDoubleArraySubject; MultimapSubject; TruthFailureSubject; Truth; SimpleSubjectBuilder; Subject; FailureMetadata; FailureMetadata.Step; ErrorWithFacts; LongSubject; TableSubject; PrimitiveLongArraySubject; AssertionErrorWithFacts; ComparableSubject; Expect; GuavaOptionalSubject; IntegerSubject; BigDecimalSubject; PrimitiveByteArraySubject; StandardSubjectBuilder; PrimitiveCharArraySubject; PrimitiveBooleanArraySubject; FailureStrategy; BooleanSubject; Platform; CustomSubjectBuilder; PrimitiveFloatArraySubject; ComparisonFailures; ComparisonFailureWithFacts; MapSubject; PrimitiveIntArraySubject; ExpectFailure; Correspondence; Correspondence.FromBinaryPredicate; Correspondence.Transforming; Correspondence.TolerantNumericEquality; Correspondence.Equality; Correspondence.FormattingDiffs; FloatSubject; ClassSubject; MultisetSubject; Ordered; Fact; IterableSubject; IterableSubject.UsingCorrespondence; IterableSubject.Pairer; LazyMessage; StreamSubjectTest; IntStreamSubjectTest; LongStreamSubjectTest; OptionalIntSubjectTest; OptionalDoubleSubjectTest; OptionalLongSubjectTest; ExpectFailure8Test; OptionalSubjectTest; IntStreamSubject; OptionalIntSubject; StreamSubject; OptionalSubject; OptionalDoubleSubject; PathSubject; LongStreamSubject; Truth8; OptionalLongSubject; ExpectWithStackTest; ExpectWithStackTest; ExpectFailureWithStackTraceTest; ExpectFailureWithStackTraceTest.FailingExpect; TruthFailureSubjectTest; CorrespondenceTest; CorrespondenceExceptionStoreTest; TestCorrespondences; PrimitiveCharArraySubjectTest; IterableSubjectCorrespondenceTest; StringSubjectTest; SubjectTest; SubjectTest.ForbidsEqualityChecksSubject; CustomFailureMessageTest; StackTraceCleanerTest; ComparableSubjectTest; MultisetSubjectTest; ClassSubjectTest; ComparisonFailureWithFactsTest; ComparisonFailureWithFactsTest; ActualValueInferenceTest; ActualValueInferenceTest; ExpectFailureRuleTest; ExpectFailureRuleTest; ExpectFailureTest; ExpectFailureTest.BadSubject; FactTest; GraphMatchingTest; GraphMatchingTest; ExpectTest; ExpectFailureNonRuleTest; ExpectFailureNonRuleTest.ExpectFailureThrowInSubject; ExpectFailureNonRuleTest.ExpectFailureThrowAfterSubject; PlatformBaseSubjectTestCase; ChainingTest.MyObjectSubject; ExpectFailureWithStackTraceTest; ExpectFailureWithStackTraceTest.FailingExpect; TruthAssertThatTest; TestCorrespondences; SubjectTest.ForbidsEqualityChecksSubject; ExpectFailureTest; ExpectFailureTest.BadSubject; PlatformBaseSubjectTestCase; ExpectTest; ExpectFailureNonRuleTest; ExpectFailureNonRuleTest.ExpectFailureThrowInSubject; ExpectFailureNonRuleTest.ExpectFailureThrowAfterSubject; PlatformBaseSubjectTestCase; ChainingTest.MyObjectSubject; PrimitiveDoubleArraySubject.DoubleArrayAsIterable; PrimitiveDoubleArraySubject.IterableSubjectWithInheritedToString; SubjectUtils; MultimapSubject.IterableEntries; MultimapSubject.MultimapInOrder; MultimapSubject.UsingCorrespondence; Expect.ExpectationGatherer; PrimitiveFloatArraySubject.FloatArrayAsIterable; PrimitiveFloatArraySubject.IterableSubjectWithInheritedToString; MapSubject.MapInOrder; MapSubject.UsingCorrespondence; PathSubjectTest]; [ExpectWithStackTest.TestRuleVerifier]; [ExpectWithStackTest.ErrorVerifier]; [TruthAssertThatTest]; [IterableSubjectCorrespondenceTest.CountsToStringCalls]; [TestCorrespondences.Record]; [SubjectTest.IntWrapper]; [SubjectTest.ThrowsOnEqualsNull]; [SubjectTest.ThrowsOnEquals]; [StackTraceCleanerTest.SomeStatement]; [StackTraceCleanerTest.SomeRunner]; [StackTraceCleanerTest.SelfReferencingThrowable]; [NoJUnitTest]; [ComparableSubjectTest.StringComparedByLength]; [ComparableSubjectTest.ComparableType]; [ComparableSubjectTest.RawComparableType]; [TestPlatform]; [ComparableSubjectCompileTest]; [TestPlatform]; [MathUtilTest; MathUtil]; [GraphMatchingTest.TestInstance]; [GraphMatchingTest.Matching]; [GraphMatchingTest.Edge]; [IterableSubjectTest.HashCodeThrower]; [IterableSubjectTest.Foo]; [IterableSubjectTest.Bar]; [IterableSubjectTest.CountsToStringCalls]; [AutoValue_ActualValueInference_OpaqueEntry; ActualValueInference; AutoValue_ActualValueInference_SubjectEntry; AutoValue_ActualValueInference_Invocation; ActualValueInference.Invocation; AutoValue_ActualValueInference_Invocation.Builder; AutoValue_ActualValueInference_FrameInfo; AutoValue_ActualValueInference_DescribedEntry; AutoValue_ActualValueInference_InferredType]; [ExpectWithStackTest.TestRuleVerifier]; [ExpectWithStackTest.ErrorVerifier]; [IterableSubjectCorrespondenceTest.CountsToStringCalls]; [TestCorrespondences.NullPointerExceptionFromWithin10Of]; [TestCorrespondences.MyRecord]; [SubjectTest.IntWrapper]; [SubjectTest.ThrowsOnEqualsNull]; [SubjectTest.ThrowsOnEquals]; [StackTraceCleanerTest.SomeStatement]; [StackTraceCleanerTest.SomeRunner]; [StackTraceCleanerTest.SelfReferencingThrowable]; [NoJUnitTest]; [ComparableSubjectTest.StringComparedByLength]; [ComparableSubjectTest.ComparableType]; [ComparableSubjectTest.RawComparableType]; [TestPlatform]; [FactTest]; [TestPlatform]; [MathUtilTest]; [GraphMatchingTest.TestInstance]; [GraphMatchingTest.Matching]; [GraphMatchingTest.Edge]; [IterableSubjectTest.OneShotIterable]; [IterableSubjectTest.HashCodeThrower]; [IterableSubjectTest.Foo]; [IterableSubjectTest.Bar]; [IterableSubjectTest.CountsToStringCalls]; [StackTraceCleanerJUnit3Test]; [StackTraceCleaner.StackTraceElementWrapper]; [StackTraceCleaner.StackFrameType]; [DiffUtils]; [TruthJUnit.ThrowableAssumptionViolatedException]; [DoubleSubject.TolerantDoubleComparison]; [StringSubject.CaseInsensitiveStringComparison]; [SubjectUtils.NonHashingMultiset]; [SubjectUtils.DuplicateGroupedAndTyped]; [Truth.SimpleAssertionError]; [GraphMatching]; [GraphMatching.HopcroftKarp]; [Subject.Factory]; [Subject.ComparisonResult]; [Subject.EqualityCheck]; [FailureMetadata.OldAndNewValuesAreSimilar]; [ActualValueInference.StackEntry]; [ActualValueInference.OpaqueEntry]; [ActualValueInference.DescribedEntry]; [ActualValueInference.SubjectEntry]; [ActualValueInference.InferenceMethodVisitor]; [ActualValueInference.FrameInfo]; [ActualValueInference.Builder]; [ActualValueInference.InferredType]; [ActualValueInference.InferenceClassVisitor]; [Expect.TestPhase]; [Platform.PlatformComparisonFailure]; [Platform.JUnitTestRule]; [CustomSubjectBuilder.Factory]; [Platform]; [Platform.PlatformComparisonFailure]; [Platform.Message]; [Platform.JUnitTestRule]; [Platform.NativeRegExp]; [Platform.NativeNumber]; [Platform.ToLocaleStringOptions]; [Platform.JavaLikeOptions]; [MapSubject.ValueTester]; [MapSubject.Differ]; [MapSubject.MapDifference]; [MapSubject.ValueDifference]; [ExpectFailure.StandardSubjectBuilderCallback]; [ExpectFailure.SimpleSubjectBuilderCallback]; [Correspondence.BinaryPredicate]; [Correspondence.DiffFormatter]; [Correspondence.StoredException]; [Correspondence.ExceptionStore]; [FloatSubject.TolerantFloatComparison]; [IterableSubject.ElementFactGrouping]; [IterableSubject.PairwiseChecker]; [IterableSubject.Pairing]; [FailureAssertions]. LCC (Lack of Component Cohesion) = 0.35
truth,com.google.common.truth.extension,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [FakeHrDatabase; FakeHrDatabaseTest; HrDatabase; Employee; FakeHrDatabase; FakeHrDatabaseTest; EmployeeSubjectTest; EmployeeSubject; HrDatabase; Employee; EmployeeSubjectTest; EmployeeSubject]; [Employee.Location]; [Employee.Location]. LCC (Lack of Component Cohesion) = 0.21
truth,com.google.common.truth.refactorings,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CorrespondenceSubclassToFactoryCallTest; CorrespondenceSubclassToFactoryCall]; [StoreActualValueInFieldTest]; [FailWithFactsTest; FailWithFacts]; [NamedToWithMessageTest]; [CorrespondenceSubclassToFactoryCall.ParentType]; [CorrespondenceSubclassToFactoryCall.CorrespondenceCode]; [CorrespondenceSubclassToFactoryCall.BinaryPredicateCode]; [CorrespondenceSubclassToFactoryCall.MemberType]. LCC (Lack of Component Cohesion) = 0.8
truth,com.google.common.truth.extensions.proto,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 77
truth,com.google.common.truth.extensions.proto,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ProtoSubjectTestBase; MultiExpectFailure; FieldScopesTest; MultimapWithProtoValuesSubjectTest; IterableOfProtosSubjectTest; OverloadResolutionTest; MapWithProtoValuesSubjectTest; ProtoSubjectTest; MultimapWithProtoValuesFluentAssertion; ProtoSubject; ProtoSubject.ProtoFluentAssertionImpl; FieldScope; MapWithProtoValuesFluentAssertion; IterableOfProtosFluentAssertion; ProtoSubjectBuilder; FieldScopeLogic; FieldScopeLogic.PartialScopeLogic; FieldScopeLogic.FieldMatcherLogicBase; FieldScopeLogic.CompoundFieldScopeLogic; FieldScopeUtil; FieldScopeLogicContainer; IterableOfProtosUsingCorrespondence; ProtoTruthMessageDifferencer; SubScopeId; DiffResult; MapWithProtoValuesSubject; MapWithProtoValuesSubject.MapWithProtoValuesFluentAssertionImpl; MultimapWithProtoValuesSubject; MultimapWithProtoValuesSubject.MultimapWithProtoValuesFluentAssertionImpl; RecursableDiffEntity; RecursableDiffEntity.WithoutResultCode; RecursableDiffEntity.WithResultCode; FluentEqualityConfig; FieldNumberTree; ProtoFluentAssertion; ProtoTruth; FieldScopes; IterableOfProtosSubject; IterableOfProtosSubject.UsingCorrespondence; IterableOfProtosSubject.IterableOfProtosFluentAssertionImpl; AnyUtils; FieldScopeImpl; LiteProtoSubject; LiteProtoTruth; FieldScopeLogicMap; FieldDescriptorValidator; FieldScopeLogic.RootPartialScopeLogic; FieldScopeResult; FieldScopeLogic.IntersectionFieldScopeLogic; FieldScopeLogic.UnionFieldScopeLogic; UnknownFieldDescriptor; DiffResult.SingularField; DiffResult.RepeatedField; DiffResult.PairResult; DiffResult.UnknownFieldSetDiff; LiteProtoSubjectTest]; [ProtoSubjectTestBase.TestType]; [FieldScopeLogicMap.Entry]; [ProtoSubjectBuilder.Factory]; [FieldScopeLogic.FieldNumbersLogic]; [FieldScopeLogic.FieldDescriptorsLogic]; [FieldScopeLogic.NegationFieldScopeLogic]; [UnknownFieldDescriptor.Type]; [SubScopeId.Kind]; [DiffResult.Builder]; [DiffResult.Builder]; [DiffResult.Builder]; [DiffResult.Builder]; [DiffResult.ProtoPrintable]; [DiffResult.Builder]; [RecursableDiffEntity.Result]; [RecursableDiffEntity.Builder]; [FluentEqualityConfig.Builder]; [LiteProtoSubjectTest.Config]; [LiteProtoSubjectTest.Builder]; [LiteProtoSubject.LiteProtoAsStringSubject]; [LiteProtoSubject.LiteProtoSubjectFactory]. LCC (Lack of Component Cohesion) = 0.29
