Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
truth,com.google.common.truth,MapSubjectTest,containsAtLeastBadNumberOfArgs,Long Statement,The length of the statement "assertThat(expected).hasMessageThat().isEqualTo("There must be an equal number of key/value pairs " + "(i.e.` the number of key/value parameters (13) must be even).");" is 167.,568
truth,com.google.common.truth,MapSubjectTest,containsAtLeastBadNumberOfArgs,Magic Number,The method contains a magic number: 2,568
truth,com.google.common.truth,MapSubjectTest,containsAtLeastBadNumberOfArgs,Magic Number,The method contains a magic number: 3,568
truth,com.google.common.truth,MapSubjectTest,containsAtLeastBadNumberOfArgs,Magic Number,The method contains a magic number: 4,568
truth,com.google.common.truth,MapSubjectTest,containsAtLeastBadNumberOfArgs,Magic Number,The method contains a magic number: 5,568
truth,com.google.common.truth,MapSubjectTest,containsAtLeastBadNumberOfArgs,Magic Number,The method contains a magic number: 2,568
truth,com.google.common.truth,MapSubjectTest,containsAtLeastBadNumberOfArgs,Magic Number,The method contains a magic number: 3,568
truth,com.google.common.truth,MapSubjectTest,containsAtLeastBadNumberOfArgs,Magic Number,The method contains a magic number: 4,568
truth,com.google.common.truth,MapSubjectTest,containsAtLeastBadNumberOfArgs,Magic Number,The method contains a magic number: 5,568
truth,com.google.common.truth,MapSubjectTest,containsAtLeastBadNumberOfArgs,Magic Number,The method contains a magic number: 6,568
truth,com.google.common.truth,MapSubjectTest,containsAtLeastWrongValue_sameToStringForValues,Long Statement,The length of the statement "assertFailureKeys("keys with wrong values"`"for key"`"expected value"`"but got value"`"for key"`"expected value"`"but got value"`"---"`"expected to contain at least"`"but was");" is 177.,587
truth,com.google.common.truth,MapSubjectTest,containsAtLeastWrongValue_sameToStringForValues,Magic Number,The method contains a magic number: 2L,587
truth,com.google.common.truth,MapSubjectTest,containsAtLeastWrongValue_sameToStringForValues,Magic Number,The method contains a magic number: 3L,587
truth,com.google.common.truth,MapSubjectTest,containsAtLeastWrongValue_sameToStringForValues,Magic Number,The method contains a magic number: 2,587
truth,com.google.common.truth,MapSubjectTest,containsAtLeastWrongValue_sameToStringForKeys,Long Statement,The length of the statement "assertFailureKeys("keys with wrong values"`"for key"`"expected value"`"but got value"`"for key"`"expected value"`"but got value"`"---"`"expected to contain at least"`"but was");" is 177.,610
truth,com.google.common.truth,MapSubjectTest,containsAtLeastExtraKeyAndMissingKey_failsWithSameToStringForKeys,Magic Number,The method contains a magic number: 2,633
truth,com.google.common.truth,MapSubjectTest,containsAtLeastExtraKeyAndMissingKey_failsWithSameToStringForKeys,Magic Number,The method contains a magic number: 2,633
truth,com.google.common.truth,MapSubjectTest,isEqualToPass,Magic Number,The method contains a magic number: 2,648
truth,com.google.common.truth,MapSubjectTest,isEqualToPass,Magic Number,The method contains a magic number: 3,648
truth,com.google.common.truth,MapSubjectTest,isEqualToPass,Magic Number,The method contains a magic number: 2,648
truth,com.google.common.truth,MapSubjectTest,isEqualToPass,Magic Number,The method contains a magic number: 3,648
truth,com.google.common.truth,MapSubjectTest,isEqualToFailureExtraMissingAndDiffering,Long Statement,The length of the statement "assertFailureKeys("keys with wrong values"`"for key"`"expected value"`"but got value"`"missing keys"`"for key"`"expected value"`"unexpected keys"`"for key"`"unexpected value"`"---"`"expected"`"but was");" is 203.,656
truth,com.google.common.truth,MapSubjectTest,isEqualToFailureExtraMissingAndDiffering,Magic Number,The method contains a magic number: 2,656
truth,com.google.common.truth,MapSubjectTest,isEqualToFailureExtraMissingAndDiffering,Magic Number,The method contains a magic number: 3,656
truth,com.google.common.truth,MapSubjectTest,isEqualToFailureExtraMissingAndDiffering,Magic Number,The method contains a magic number: 4,656
truth,com.google.common.truth,MapSubjectTest,isEqualToFailureExtraMissingAndDiffering,Magic Number,The method contains a magic number: 5,656
truth,com.google.common.truth,MapSubjectTest,isEqualToFailureExtraMissingAndDiffering,Magic Number,The method contains a magic number: 2,656
truth,com.google.common.truth,MapSubjectTest,isEqualToFailureDiffering,Magic Number,The method contains a magic number: 2,687
truth,com.google.common.truth,MapSubjectTest,isEqualToFailureDiffering,Magic Number,The method contains a magic number: 3,687
truth,com.google.common.truth,MapSubjectTest,isEqualToFailureDiffering,Magic Number,The method contains a magic number: 2,687
truth,com.google.common.truth,MapSubjectTest,isEqualToFailureDiffering,Magic Number,The method contains a magic number: 4,687
truth,com.google.common.truth,MapSubjectTest,isEqualToFailureExtra,Magic Number,The method contains a magic number: 2,706
truth,com.google.common.truth,MapSubjectTest,isEqualToFailureExtra,Magic Number,The method contains a magic number: 3,706
truth,com.google.common.truth,MapSubjectTest,isEqualToFailureExtra,Magic Number,The method contains a magic number: 2,706
truth,com.google.common.truth,MapSubjectTest,isEqualToFailureMissing,Magic Number,The method contains a magic number: 2,718
truth,com.google.common.truth,MapSubjectTest,isEqualToFailureMissing,Magic Number,The method contains a magic number: 2,718
truth,com.google.common.truth,MapSubjectTest,isEqualToFailureMissing,Magic Number,The method contains a magic number: 3,718
