Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
truth,com.google.common.truth,AutoValue_ActualValueInference_OpaqueEntry,AutoValue_ActualValueInference_OpaqueEntry,6,2,1,12,0,,
truth,com.google.common.truth,AutoValue_ActualValueInference_OpaqueEntry,type,3,1,0,20,0,,
truth,com.google.common.truth,AutoValue_ActualValueInference_OpaqueEntry,equals,10,3,1,25,0,,
truth,com.google.common.truth,AutoValue_ActualValueInference_OpaqueEntry,hashCode,6,1,0,37,0,,
truth,com.google.common.truth,AutoValue_ActualValueInference_SubjectEntry,AutoValue_ActualValueInference_SubjectEntry,10,3,2,14,0,,
truth,com.google.common.truth,AutoValue_ActualValueInference_SubjectEntry,type,3,1,0,27,0,,
truth,com.google.common.truth,AutoValue_ActualValueInference_SubjectEntry,actualValue,3,1,0,32,0,,
truth,com.google.common.truth,AutoValue_ActualValueInference_SubjectEntry,equals,10,3,1,37,0,,
truth,com.google.common.truth,AutoValue_ActualValueInference_SubjectEntry,hashCode,8,1,0,50,0,,
truth,com.google.common.truth,AutoValue_ActualValueInference_Invocation,AutoValue_ActualValueInference_Invocation,6,1,4,18,0,,
truth,com.google.common.truth,AutoValue_ActualValueInference_Invocation,receiver,3,1,0,29,0,,
truth,com.google.common.truth,AutoValue_ActualValueInference_Invocation,actualValue,3,1,0,35,0,,
truth,com.google.common.truth,AutoValue_ActualValueInference_Invocation,boxingInput,3,1,0,41,0,,
truth,com.google.common.truth,AutoValue_ActualValueInference_Invocation,name,3,1,0,47,0,,
truth,com.google.common.truth,AutoValue_ActualValueInference_Invocation,toString,3,1,0,52,0,,
truth,com.google.common.truth,AutoValue_ActualValueInference_Invocation,equals,10,3,1,62,0,,
truth,com.google.common.truth,AutoValue_ActualValueInference_Invocation,hashCode,12,1,0,77,0,,
truth,com.google.common.truth,AutoValue_ActualValueInference_FrameInfo,AutoValue_ActualValueInference_FrameInfo,10,3,2,15,0,,
truth,com.google.common.truth,AutoValue_ActualValueInference_FrameInfo,locals,3,1,0,28,0,,
truth,com.google.common.truth,AutoValue_ActualValueInference_FrameInfo,stack,3,1,0,33,0,,
truth,com.google.common.truth,AutoValue_ActualValueInference_FrameInfo,toString,3,1,0,38,0,,
truth,com.google.common.truth,AutoValue_ActualValueInference_FrameInfo,equals,10,3,1,46,0,,
truth,com.google.common.truth,AutoValue_ActualValueInference_FrameInfo,hashCode,8,1,0,59,0,,
truth,com.google.common.truth,AutoValue_ActualValueInference_DescribedEntry,AutoValue_ActualValueInference_DescribedEntry,10,3,2,14,0,,
truth,com.google.common.truth,AutoValue_ActualValueInference_DescribedEntry,type,3,1,0,27,0,,
truth,com.google.common.truth,AutoValue_ActualValueInference_DescribedEntry,description,3,1,0,32,0,,
truth,com.google.common.truth,AutoValue_ActualValueInference_DescribedEntry,equals,10,3,1,37,0,,
truth,com.google.common.truth,AutoValue_ActualValueInference_DescribedEntry,hashCode,8,1,0,50,0,,
truth,com.google.common.truth,AutoValue_ActualValueInference_InferredType,AutoValue_ActualValueInference_InferredType,6,2,1,12,0,,
truth,com.google.common.truth,AutoValue_ActualValueInference_InferredType,descriptor,3,1,0,20,0,,
truth,com.google.common.truth,AutoValue_ActualValueInference_InferredType,equals,10,3,1,25,0,,
truth,com.google.common.truth,AutoValue_ActualValueInference_InferredType,hashCode,6,1,0,37,0,,
truth,com.google.common.truth,MapSubjectTest,containsExactlyWithNullKey,8,1,0,44,1,com.google.common.truth.MapSubject,com.google.common.truth.Ordered; com.google.common.truth.MapSubject
truth,com.google.common.truth,MapSubjectTest,containsExactlyWithNullValue,8,1,0,55,1,com.google.common.truth.MapSubject,com.google.common.truth.Ordered; com.google.common.truth.MapSubject
truth,com.google.common.truth,MapSubjectTest,containsExactlyEmpty,7,1,0,66,1,,
truth,com.google.common.truth,MapSubjectTest,containsExactlyEmpty_fails,5,1,0,76,1,,
truth,com.google.common.truth,MapSubjectTest,containsExactlyEntriesInEmpty_fails,5,1,0,84,1,,
truth,com.google.common.truth,MapSubjectTest,containsExactlyOneEntry,7,1,0,92,1,,
truth,com.google.common.truth,MapSubjectTest,containsExactlyMultipleEntries,7,1,0,102,1,,
truth,com.google.common.truth,MapSubjectTest,containsExactlyDuplicateKeys,10,1,0,112,1,com.google.common.truth.Subject,com.google.common.truth.Subject; com.google.common.truth.ThrowableSubject
truth,com.google.common.truth,MapSubjectTest,containsExactlyMultipleDuplicateKeys,10,1,0,126,1,com.google.common.truth.Subject,com.google.common.truth.Subject; com.google.common.truth.ThrowableSubject
truth,com.google.common.truth,MapSubjectTest,containsExactlyExtraKey,5,1,0,140,1,,
truth,com.google.common.truth,MapSubjectTest,containsExactlyExtraKeyInOrder,5,1,0,151,1,,
truth,com.google.common.truth,MapSubjectTest,containsExactlyMissingKey,5,1,0,162,1,,
truth,com.google.common.truth,MapSubjectTest,containsExactlyWrongValue,5,1,0,173,1,,
truth,com.google.common.truth,MapSubjectTest,containsExactlyWrongValueWithNull,5,1,0,185,1,,
truth,com.google.common.truth,MapSubjectTest,containsExactlyExtraKeyAndMissingKey,5,1,0,198,1,,
truth,com.google.common.truth,MapSubjectTest,containsExactlyExtraKeyAndWrongValue,5,1,0,210,1,,
truth,com.google.common.truth,MapSubjectTest,containsExactlyMissingKeyAndWrongValue,5,1,0,223,1,,
truth,com.google.common.truth,MapSubjectTest,containsExactlyExtraKeyAndMissingKeyAndWrongValue,5,1,0,236,1,,
truth,com.google.common.truth,MapSubjectTest,containsExactlyNotInOrder,8,1,0,250,1,,
truth,com.google.common.truth,MapSubjectTest,containsExactlyBadNumberOfArgs,12,1,0,265,1,com.google.common.truth.Subject,com.google.common.truth.Subject; com.google.common.truth.ThrowableSubject
truth,com.google.common.truth,MapSubjectTest,containsExactlyWrongValue_sameToStringForValues,4,1,0,286,1,,
truth,com.google.common.truth,MapSubjectTest,containsExactlyWrongValue_sameToStringForKeys,4,1,0,299,1,,
truth,com.google.common.truth,MapSubjectTest,containsExactlyExtraKeyAndMissingKey_failsWithSameToStringForKeys,4,1,0,312,1,,
truth,com.google.common.truth,MapSubjectTest,containsAtLeastWithNullKey,11,1,0,324,1,com.google.common.truth.MapSubject,com.google.common.truth.Ordered; com.google.common.truth.MapSubject
truth,com.google.common.truth,MapSubjectTest,containsAtLeastWithNullValue,11,1,0,338,1,com.google.common.truth.MapSubject,com.google.common.truth.Ordered; com.google.common.truth.MapSubject
truth,com.google.common.truth,MapSubjectTest,containsAtLeastEmpty,5,1,0,352,1,,
truth,com.google.common.truth,MapSubjectTest,containsAtLeastOneEntry,7,1,0,360,1,,
truth,com.google.common.truth,MapSubjectTest,containsAtLeastMultipleEntries,7,1,0,370,1,,
truth,com.google.common.truth,MapSubjectTest,containsAtLeastDuplicateKeys,10,1,0,380,1,com.google.common.truth.Subject,com.google.common.truth.Subject; com.google.common.truth.ThrowableSubject
truth,com.google.common.truth,MapSubjectTest,containsAtLeastMultipleDuplicateKeys,10,1,0,394,1,com.google.common.truth.Subject,com.google.common.truth.Subject; com.google.common.truth.ThrowableSubject
truth,com.google.common.truth,MapSubjectTest,containsAtLeastMissingKey,5,1,0,408,1,,
truth,com.google.common.truth,MapSubjectTest,containsAtLeastWrongValue,5,1,0,419,1,,
truth,com.google.common.truth,MapSubjectTest,containsAtLeastWrongValueWithNull,5,1,0,431,1,,
truth,com.google.common.truth,MapSubjectTest,containsAtLeastExtraKeyAndMissingKeyAndWrongValue,5,1,0,444,1,,
truth,com.google.common.truth,MapSubjectTest,containsAtLeastNotInOrder,6,1,0,457,1,,
truth,com.google.common.truth,MapSubjectTest,containsAtLeastBadNumberOfArgs,10,1,0,470,1,com.google.common.truth.Subject,com.google.common.truth.Subject; com.google.common.truth.ThrowableSubject
truth,com.google.common.truth,MapSubjectTest,containsAtLeastWrongValue_sameToStringForValues,4,1,0,489,1,,
truth,com.google.common.truth,MapSubjectTest,containsAtLeastWrongValue_sameToStringForKeys,4,1,0,502,1,,
truth,com.google.common.truth,MapSubjectTest,containsAtLeastExtraKeyAndMissingKey_failsWithSameToStringForKeys,4,1,0,515,1,,
truth,com.google.common.truth,MapSubjectTest,isEqualToPass,5,1,0,526,1,,
truth,com.google.common.truth,MapSubjectTest,isEqualToFailureExtraMissingAndDiffering,6,1,0,534,1,,
truth,com.google.common.truth,MapSubjectTest,isEqualToFailureDiffering,6,1,0,550,1,,
truth,com.google.common.truth,MapSubjectTest,isEqualToFailureExtra,6,1,0,564,1,,
truth,com.google.common.truth,MapSubjectTest,isEqualToFailureMissing,6,1,0,577,1,,
truth,com.google.common.truth,MapSubjectTest,isEqualToFailureExtraAndMissing,6,1,0,590,1,,
truth,com.google.common.truth,MapSubjectTest,isEqualToFailureDiffering_sameToString,6,1,0,604,1,,
truth,com.google.common.truth,MapSubjectTest,isEqualToNonMap,5,1,0,619,1,,
truth,com.google.common.truth,MapSubjectTest,isEqualToNotConsistentWithEquals,7,1,0,626,1,com.google.common.truth.MapSubject,com.google.common.truth.MapSubject
truth,com.google.common.truth,MapSubjectTest,isEqualToNotConsistentWithEquals_failure,8,1,0,639,1,com.google.common.truth.MapSubject,com.google.common.truth.MapSubject
truth,com.google.common.truth,MapSubjectTest,isEqualToActualNullOtherMap,3,1,0,650,1,com.google.common.truth.MapSubject,com.google.common.truth.MapSubject
truth,com.google.common.truth,MapSubjectTest,isEqualToActualMapOtherNull,3,1,0,655,1,,
truth,com.google.common.truth,MapSubjectTest,isNotEqualTo,5,1,0,660,1,,
truth,com.google.common.truth,MapSubjectTest,isEmpty,4,1,0,668,1,,
truth,com.google.common.truth,MapSubjectTest,isEmptyWithFailure,5,1,0,674,1,,
truth,com.google.common.truth,MapSubjectTest,isNotEmpty,4,1,0,681,1,,
truth,com.google.common.truth,MapSubjectTest,isNotEmptyWithFailure,5,1,0,687,1,,
truth,com.google.common.truth,MapSubjectTest,hasSize,3,1,0,694,1,,
truth,com.google.common.truth,MapSubjectTest,hasSizeZero,3,1,0,699,1,,
truth,com.google.common.truth,MapSubjectTest,hasSizeNegative,8,1,0,704,1,,
truth,com.google.common.truth,MapSubjectTest,containsKey,4,1,0,713,1,,
truth,com.google.common.truth,MapSubjectTest,containsKeyFailure,8,1,0,719,1,,
truth,com.google.common.truth,MapSubjectTest,containsKeyNullFailure,8,1,0,729,1,,
truth,com.google.common.truth,MapSubjectTest,containsKey_failsWithSameToString,6,1,0,739,1,,
truth,com.google.common.truth,MapSubjectTest,containsKey_failsWithNullStringAndNull,8,1,0,755,1,com.google.common.truth.MapSubject,com.google.common.truth.MapSubject
truth,com.google.common.truth,MapSubjectTest,containsNullKey,5,1,0,773,1,com.google.common.truth.MapSubject,com.google.common.truth.MapSubject
truth,com.google.common.truth,MapSubjectTest,doesNotContainKey,5,1,0,780,1,,
truth,com.google.common.truth,MapSubjectTest,doesNotContainKeyFailure,8,1,0,787,1,,
truth,com.google.common.truth,MapSubjectTest,doesNotContainNullKey,9,1,0,797,1,com.google.common.truth.MapSubject,com.google.common.truth.MapSubject
truth,com.google.common.truth,MapSubjectTest,containsEntry,4,1,0,808,1,,
truth,com.google.common.truth,MapSubjectTest,containsEntryFailure,7,1,0,814,1,,
truth,com.google.common.truth,MapSubjectTest,containsEntry_failsWithSameToStringOfKey,4,1,0,823,1,,
truth,com.google.common.truth,MapSubjectTest,containsEntry_failsWithSameToStringOfValue,4,1,0,836,1,,
truth,com.google.common.truth,MapSubjectTest,containsNullKeyAndValue,7,1,0,848,1,,
truth,com.google.common.truth,MapSubjectTest,containsNullEntry,5,1,0,857,1,com.google.common.truth.MapSubject,com.google.common.truth.MapSubject
truth,com.google.common.truth,MapSubjectTest,containsNullEntryValue,6,1,0,864,1,com.google.common.truth.MapSubject,com.google.common.truth.MapSubject
truth,com.google.common.truth,MapSubjectTest,containsNullEntryKey,10,1,0,879,1,com.google.common.truth.MapSubject,com.google.common.truth.MapSubject
truth,com.google.common.truth,MapSubjectTest,doesNotContainEntry,7,1,0,893,1,,
truth,com.google.common.truth,MapSubjectTest,doesNotContainEntryFailure,8,1,0,902,1,,
truth,com.google.common.truth,MapSubjectTest,doesNotContainNullEntry,6,1,0,912,1,com.google.common.truth.MapSubject,com.google.common.truth.MapSubject
truth,com.google.common.truth,MapSubjectTest,doesNotContainNullEntryFailure,9,1,0,920,1,com.google.common.truth.MapSubject,com.google.common.truth.MapSubject
truth,com.google.common.truth,MapSubjectTest,failMapContainsKey,8,1,0,931,1,,
truth,com.google.common.truth,MapSubjectTest,failMapContainsKeyWithNull,8,1,0,941,1,,
truth,com.google.common.truth,MapSubjectTest,failMapLacksKey,8,1,0,951,1,,
truth,com.google.common.truth,MapSubjectTest,containsKeyWithValue,4,1,0,961,1,,
truth,com.google.common.truth,MapSubjectTest,containsKeyWithNullValueNullExpected,5,1,0,967,1,com.google.common.truth.MapSubject,com.google.common.truth.MapSubject
truth,com.google.common.truth,MapSubjectTest,failMapContainsKeyWithValue,9,1,0,974,1,,
truth,com.google.common.truth,MapSubjectTest,failMapContainsKeyWithNullValuePresentExpected,10,1,0,987,1,com.google.common.truth.MapSubject,com.google.common.truth.MapSubject
truth,com.google.common.truth,MapSubjectTest,failMapContainsKeyWithPresentValueNullExpected,9,1,0,1001,1,,
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsEntry_success,4,1,0,1014,1,,
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsEntry_failsExpectedKeyHasWrongValue,5,1,0,1022,1,,
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsEntry_failsWrongKeyHasExpectedValue,5,1,0,1036,1,,
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsEntry_failsMissingExpectedKeyAndValue,5,1,0,1050,1,,
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsEntry_diffExpectedKeyHasWrongValue,5,1,0,1063,1,,
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsEntry_handlesFormatDiffExceptions,9,1,0,1076,1,,
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsEntry_handlesExceptions_expectedKeyHasWrongValue,8,1,0,1099,1,,
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsEntry_handlesExceptions_wrongKeyHasExpectedValue,8,1,0,1119,1,,
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_doesNotContainEntry_successExcludedKeyHasWrongValues,4,1,0,1142,1,,
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_doesNotContainEntry_successWrongKeyHasExcludedValue,4,1,0,1150,1,,
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_doesNotContainEntry_successMissingExcludedKeyAndValue,4,1,0,1158,1,,
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_doesNotContainEntry_failure,5,1,0,1166,1,,
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_doesNotContainEntry_handlesException,10,1,0,1179,1,,
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactly_success,4,1,0,1204,1,,
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactly_inOrder_success,4,1,0,1212,1,,
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactly_failsExtraEntry,5,1,0,1221,1,,
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactly_failsMissingEntry,5,1,0,1235,1,,
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactly_failsWrongKey,5,1,0,1250,1,,
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactly_failsWrongValue,5,1,0,1265,1,,
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactly_handlesExceptions,8,1,0,1280,1,,
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactly_inOrder_failsOutOfOrder,5,1,0,1300,1,,
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactly_wrongValueTypeInActual,6,1,0,1315,1,,
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsExactly_wrongValueTypeInExpected,6,1,0,1333,1,,
