Project Name,Package Name,Architecture Smell,Cause of the Smell
truth,com.google.common.truth,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 225
truth,com.google.common.truth,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AutoValue_ActualValueInference_OpaqueEntry; ActualValueInference; AutoValue_ActualValueInference_SubjectEntry; AutoValue_ActualValueInference_Invocation; ActualValueInference.Invocation; AutoValue_ActualValueInference_Invocation.Builder; AutoValue_ActualValueInference_FrameInfo; AutoValue_ActualValueInference_DescribedEntry; AutoValue_ActualValueInference_InferredType]; [MapSubjectTest; BaseSubjectTestCase; BigDecimalSubjectTest; FloatSubjectTest; TableSubjectTest; PrimitiveIntArraySubjectTest; IntegerSubjectTest; ThrowableSubjectTest; PrimitiveBooleanArraySubjectTest; PlatformBaseSubjectTestCase; BooleanSubjectTest; PrimitiveDoubleArraySubjectTest; ObjectArraySubjectTest; PrimitiveLongArraySubjectTest; AtomicLongMapSubjectTest; PrimitiveShortArraySubjectTest; DoubleSubjectTest; LongSubjectTest; ChainingTest; IterableSubjectTest; GuavaOptionalSubjectTest; PrimitiveByteArraySubjectTest; PrimitiveFloatArraySubjectTest; MultimapSubjectTest; StandardSubjectBuilderTest; PrimitiveShortArraySubject; ObjectArraySubject; DoubleSubject; ThrowableSubject; StringSubject; AbstractArraySubject; PrimitiveDoubleArraySubject; MultimapSubject; TruthFailureSubject; Truth; SimpleSubjectBuilder; Subject; AtomicLongMapSubject; Facts; FailureMetadata; FailureMetadata.Step; DefaultSubject; ErrorWithFacts; LongSubject; TableSubject; PrimitiveLongArraySubject; AssertionErrorWithFacts; ComparableSubject; Expect; GuavaOptionalSubject; IntegerSubject; BigDecimalSubject; PrimitiveByteArraySubject; StandardSubjectBuilder; PrimitiveCharArraySubject; PrimitiveBooleanArraySubject; FailureStrategy; BooleanSubject; Platform; CustomSubjectBuilder; PrimitiveFloatArraySubject; ComparisonFailureWithFacts; MapSubject; PrimitiveIntArraySubject; ExpectFailure; Correspondence; Correspondence.FromBinaryPredicate; Correspondence.Transforming; Correspondence.TolerantNumericEquality; Correspondence.FormattingDiffs; FloatSubject; ClassSubject; MultisetSubject; Ordered; Fact; IterableSubject; IterableSubject.UsingCorrespondence; IterableSubject.Pairer; LazyMessage; MathUtil; StreamSubjectTest; IntStreamSubjectTest; LongStreamSubjectTest; OptionalIntSubjectTest; OptionalDoubleSubjectTest; OptionalLongSubjectTest; ExpectFailure8Test; OptionalSubjectTest; FailureAssertions; IntStreamSubject; OptionalIntSubject; StreamSubject; OptionalSubject; OptionalDoubleSubject; PathSubject; LongStreamSubject; Truth8; OptionalLongSubject; ExpectWithStackTest; ExpectFailureWithStackTraceTest; ExpectFailureWithStackTraceTest.FailingExpect; TruthAssertThatTest; TruthFailureSubjectTest; CorrespondenceTest; CorrespondenceExceptionStoreTest; TestCorrespondences; PrimitiveCharArraySubjectTest; IterableSubjectCorrespondenceTest; StringSubjectTest; SubjectTest; SubjectTest.ForbidsEqualityChecksSubject; CustomFailureMessageTest; StackTraceCleanerTest; StackTraceCleaner; ComparableSubjectTest; MultisetSubjectTest; ClassSubjectTest; ComparisonFailureWithFactsTest; ActualValueInferenceTest; ExpectFailureRuleTest; ExpectFailureTest; ExpectFailureTest.BadSubject; FactTest; MathUtilTest; GraphMatchingTest; ExpectTest; TruthJUnit; ExpectFailureNonRuleTest; ExpectFailureNonRuleTest.ExpectFailureThrowInSubject; ExpectFailureNonRuleTest.ExpectFailureThrowAfterSubject; PlatformBaseSubjectTestCase; ChainingTest.MyObjectSubject; PrimitiveDoubleArraySubject.DoubleArrayAsIterable; PrimitiveDoubleArraySubject.IterableSubjectWithInheritedToString; SubjectUtils; MultimapSubject.IterableEntries; MultimapSubject.MultimapInOrder; MultimapSubject.UsingCorrespondence; MultimapSubject.EntryCorrespondence; Expect.ExpectationGatherer; PrimitiveFloatArraySubject.FloatArrayAsIterable; PrimitiveFloatArraySubject.IterableSubjectWithInheritedToString; MapSubject.MapInOrder; MapSubject.UsingCorrespondence; PathSubjectTest]; [ExpectWithStackTest.TestRuleVerifier]; [ExpectWithStackTest.ErrorVerifier]; [IterableSubjectCorrespondenceTest.CountsToStringCalls]; [TestCorrespondences.Record]; [SubjectTest.IntWrapper]; [SubjectTest.ThrowsOnEqualsNull]; [SubjectTest.ThrowsOnEquals]; [StackTraceCleanerTest.SomeStatement]; [StackTraceCleanerTest.SomeRunner]; [StackTraceCleanerTest.SelfReferencingThrowable]; [ComparableSubjectTest.StringComparedByLength]; [ComparableSubjectTest.ComparableType]; [ComparableSubjectTest.RawComparableType]; [TestPlatform]; [ComparableSubjectCompileTest]; [TestPlatform]; [GraphMatchingTest.TestInstance]; [GraphMatchingTest.Matching]; [GraphMatchingTest.Edge]; [IterableSubjectTest.HashCodeThrower]; [IterableSubjectTest.Foo]; [IterableSubjectTest.Bar]; [IterableSubjectTest.CountsToStringCalls]; [StackTraceCleaner.StackTraceElementWrapper]; [StackTraceCleaner.StackFrameType]; [TruthJUnit.ThrowableAssumptionViolatedException]; [DoubleSubject.TolerantDoubleComparison]; [StringSubject.CaseInsensitiveStringComparison]; [SubjectUtils.NonHashingMultiset]; [SubjectUtils.DuplicateGroupedAndTyped]; [Truth.SimpleAssertionError]; [GraphMatching]; [GraphMatching.HopcroftKarp]; [Subject.Factory]; [Subject.ComparisonResult]; [Subject.EqualityCheck]; [FailureMetadata.OldAndNewValuesAreSimilar]; [ActualValueInference.StackEntry]; [ActualValueInference.OpaqueEntry]; [ActualValueInference.DescribedEntry]; [ActualValueInference.SubjectEntry]; [ActualValueInference.InferenceMethodVisitor]; [ActualValueInference.FrameInfo]; [ActualValueInference.Builder]; [ActualValueInference.InferredType]; [ActualValueInference.InferenceClassVisitor]; [Expect.TestPhase]; [Platform.PlatformComparisonFailure]; [Platform.JUnitTestRule]; [CustomSubjectBuilder.Factory]; [Platform]; [Platform.PlatformComparisonFailure]; [Platform.JUnitTestRule]; [Platform.NativeRegExp]; [Platform.Number]; [Platform.ToLocaleStringOptions]; [Platform.JavaLikeOptions]; [MapSubject.ValueTester]; [MapSubject.MapDifference]; [MapSubject.ValueDifference]; [MapSubject.TypedToStringWrapper]; [ExpectFailure.StandardSubjectBuilderCallback]; [ExpectFailure.SimpleSubjectBuilderCallback]; [Correspondence.BinaryPredicate]; [Correspondence.DiffFormatter]; [Correspondence.StoredException]; [Correspondence.ExceptionStore]; [FloatSubject.TolerantFloatComparison]; [IterableSubject.ElementFactGrouping]; [IterableSubject.PairwiseChecker]; [IterableSubject.Pairing]. LCC (Lack of Component Cohesion) = 0.32
truth,com.google.common.truth.extension,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AutoValue_Employee; Employee; FakeHrDatabase; FakeHrDatabaseTest; HrDatabase; EmployeeSubjectTest; EmployeeSubject]; [Employee.Location]. LCC (Lack of Component Cohesion) = 0.25
truth,com.google.common.truth.refactorings,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CorrespondenceSubclassToFactoryCallTest; CorrespondenceSubclassToFactoryCall]; [StoreActualValueInFieldTest; StoreActualValueInField]; [FailWithFactsTest; FailWithFacts]; [NamedToWithMessageTest; NamedToWithMessage]; [CorrespondenceSubclassToFactoryCall.ParentType]; [CorrespondenceSubclassToFactoryCall.CorrespondenceCode]; [CorrespondenceSubclassToFactoryCall.BinaryPredicateCode]; [CorrespondenceSubclassToFactoryCall.MemberType]; [NamedToWithMessage.FactoryMethodName]. LCC (Lack of Component Cohesion) = 0.69
truth,com.google.common.truth.extensions.proto,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 74
truth,com.google.common.truth.extensions.proto,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ProtoSubjectTestBase; MultiExpectFailure; FieldScopesTest; MultimapWithProtoValuesSubjectTest; IterableOfProtosSubjectTest; OverloadResolutionTest; MapWithProtoValuesSubjectTest; ProtoSubjectTest; ProtoSubject; FieldScope; MapWithProtoValuesFluentAssertion; IterableOfProtosFluentAssertion; ProtoSubjectBuilder; FieldScopeLogic; FieldScopeLogic.PartialScopeLogic; FieldScopeLogic.FieldMatcherLogicBase; FieldScopeLogic.CompoundFieldScopeLogic; FieldScopeUtil; FieldScopeLogicContainer; IterableOfProtosUsingCorrespondence; FieldDescriptorOrUnknown; ProtoTruthMessageDifferencer; DiffResult; MapWithProtoValuesSubject; MapWithProtoValuesSubject.MapWithProtoValuesFluentAssertionImpl; MultimapWithProtoValuesSubject; MultimapWithProtoValuesSubject.MultimapWithProtoValuesFluentAssertionImpl; RecursableDiffEntity; RecursableDiffEntity.WithoutResultCode; RecursableDiffEntity.WithResultCode; FluentEqualityConfig; FieldNumberTree; ProtoFluentAssertion; ProtoTruth; FieldScopes; IterableOfProtosSubject; IterableOfProtosSubject.UsingCorrespondence; IterableOfProtosSubject.IterableOfProtosFluentAssertionImpl; FieldScopeImpl; LiteProtoSubject; LiteProtoTruth; MultimapWithProtoValuesFluentAssertion; FieldScopeLogicMap; FieldDescriptorValidator; FieldScopeLogic.RootPartialScopeLogic; FieldScopeResult; FieldScopeLogic.IntersectionFieldScopeLogic; FieldScopeLogic.UnionFieldScopeLogic; UnknownFieldDescriptor; DiffResult.SingularField; DiffResult.RepeatedField; DiffResult.PairResult; DiffResult.UnknownFieldSetDiff; LiteProtoSubjectTest]; [ProtoSubjectTestBase.TestType]; [FieldScopeLogicMap.Entry]; [ProtoSubjectBuilder.Factory]; [FieldScopeLogic.FieldNumbersLogic]; [FieldScopeLogic.FieldDescriptorsLogic]; [FieldScopeLogic.NegationFieldScopeLogic]; [UnknownFieldDescriptor.Type]; [DiffResult.Builder]; [DiffResult.Builder]; [DiffResult.Builder]; [DiffResult.Builder]; [DiffResult.Builder]; [RecursableDiffEntity.Result]; [RecursableDiffEntity.Builder]; [FluentEqualityConfig.Builder]; [FieldNumberTree.Key]; [LiteProtoSubjectTest.Config]; [LiteProtoSubjectTest.Builder]; [LiteProtoSubject.LiteProtoAsStringSubject]; [LiteProtoSubject.LiteProtoSubjectFactory]. LCC (Lack of Component Cohesion) = 0.28
