Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
truth,com.google.common.truth,AutoValue_Expect_ExpectationFailure,AutoValue_Expect_ExpectationFailure,7,2,2,13,0,,
truth,com.google.common.truth,AutoValue_Expect_ExpectationFailure,message,3,1,0,23,0,,
truth,com.google.common.truth,AutoValue_Expect_ExpectationFailure,cause,3,1,0,28,0,,
truth,com.google.common.truth,AutoValue_Expect_ExpectationFailure,toString,3,1,0,34,0,,
truth,com.google.common.truth,AutoValue_Expect_ExpectationFailure,equals,10,3,1,42,0,,
truth,com.google.common.truth,AutoValue_Expect_ExpectationFailure,hashCode,8,1,0,55,0,,
truth,com.google.common.truth,ExpectFailureWithStackTraceTest,expectTwoFailures,4,1,0,39,1,com.google.common.truth.IntegerSubject,com.google.common.truth.IntegerSubject; com.google.common.truth.StringSubject
truth,com.google.common.truth,SubjectFactoryReflectionTest,genericErasureWorkaround,9,1,0,35,1,com.google.common.truth.Subject,com.google.common.truth.Subject; com.google.common.truth.SubjectFactory
truth,com.google.common.truth,SubjectFactoryReflectionTest,getSubject,3,1,2,39,0,,
truth,com.google.common.truth,TruthAssertThatTest,apply,3,1,1,46,0,,
truth,com.google.common.truth,TruthAssertThatTest,staticAssertThatMethodsMatchTestVerbInstanceMethods,17,1,0,52,1,com.google.common.truth.Truth,com.google.common.truth.Truth
truth,com.google.common.truth,TruthAssertThatTest,apply,3,1,1,58,0,,
truth,com.google.common.truth,TruthAssertThatTest,apply,3,1,1,69,0,,
truth,com.google.common.truth,TruthAssertThatTest,festAlike,4,1,0,83,1,com.google.common.truth.StringSubject,com.google.common.truth.StringSubject; com.google.common.truth.BooleanSubject
truth,com.google.common.truth,RelabeledSubjectsTest,namedIncludesActualStringValue,11,1,0,36,1,com.google.common.truth.StringSubject,com.google.common.truth.StringSubject; com.google.common.truth.Subject
truth,com.google.common.truth,RelabeledSubjectsTest,namedIncludesActualIntegerValue,11,1,0,48,1,com.google.common.truth.Subject,com.google.common.truth.Subject; com.google.common.truth.StringSubject
truth,com.google.common.truth,RelabeledSubjectsTest,relabeledBooleans,9,1,0,60,1,com.google.common.truth.BooleanSubject,com.google.common.truth.BooleanSubject; com.google.common.truth.Subject
truth,com.google.common.truth,RelabeledSubjectsTest,relabeledObject,10,1,0,71,1,com.google.common.truth.Subject,com.google.common.truth.Subject; com.google.common.truth.StringSubject
truth,com.google.common.truth,RelabeledSubjectsTest,relabelledCollections,9,1,0,83,1,com.google.common.truth.Subject,com.google.common.truth.Subject
truth,com.google.common.truth,RelabeledSubjectsTest,relabelledPrimitiveFloatArrays,11,1,0,96,1,com.google.common.truth.PrimitiveFloatArraySubject,com.google.common.truth.PrimitiveFloatArraySubject; com.google.common.truth.AbstractArraySubject
