Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
truth,com.google.common.truth,AutoValue_Expect_ExpectationFailure,equals,Long Statement,The length of the statement "return this.message.equals(that.message()) && (this.cause == null ? that.cause() == null : this.cause.equals(that.cause()));" is 124.,42
truth,com.google.common.truth,AutoValue_Expect_ExpectationFailure,hashCode,Magic Number,The method contains a magic number: 1000003,55
truth,com.google.common.truth,AutoValue_Expect_ExpectationFailure,hashCode,Magic Number,The method contains a magic number: 1000003,55
truth,com.google.common.truth,ExpectFailureWithStackTraceTest,expectTwoFailures,Magic Number,The method contains a magic number: 4,39
truth,com.google.common.truth,ExpectFailureWithStackTraceTest,expectTwoFailures,Magic Number,The method contains a magic number: 4,39
truth,com.google.common.truth,TruthAssertThatTest,staticAssertThatMethodsMatchTestVerbInstanceMethods,Long Statement,The length of the statement "ImmutableSortedSet<TypeToken<?>> verbTypes=FluentIterable.from(asList(TestVerb.class.getMethods())).filter(new Predicate<Method>(){" is 131.,52
truth,com.google.common.truth,TruthAssertThatTest,staticAssertThatMethodsMatchTestVerbInstanceMethods,Long Statement,The length of the statement "ImmutableSortedSet<TypeToken<?>> truthTypes=FluentIterable.from(asList(Truth.class.getMethods())).filter(new Predicate<Method>(){" is 129.,52
truth,com.google.common.truth,RelabeledSubjectsTest,namedIncludesActualIntegerValue,Magic Number,The method contains a magic number: 13,48
truth,com.google.common.truth,RelabeledSubjectsTest,namedIncludesActualIntegerValue,Magic Number,The method contains a magic number: 12,48
truth,com.google.common.truth,RelabeledSubjectsTest,relabelledCollections,Long Statement,The length of the statement "assertThat(expected).hasMessage("Not true that crazy list (<[a` b` c]>) contains all of <[c` d]>. " + "It is missing <[d]>");" is 125.,83
truth,com.google.common.truth,RelabeledSubjectsTest,relabelledPrimitiveFloatArrays,Magic Number,The method contains a magic number: 0.0000001f,96
truth,com.google.common.truth,SubjectTest,nullPointerTester,Magic Number,The method contains a magic number: 2d,50
truth,com.google.common.truth,SubjectTest,allAssertThatOverloadsAcceptNull,Complex Conditional,The conditional expression Modifier.isPublic(method.getModifiers()) && method.getName().equals("assertThat") && method.getParameterTypes().length == 1 is complex.,75
truth,com.google.common.truth,SubjectTest,allAssertThatOverloadsAcceptNull,Long Statement,The length of the statement "if (Modifier.isPublic(method.getModifiers()) && method.getName().equals("assertThat") && method.getParameterTypes().length == 1) {" is 130.,75
truth,com.google.common.truth,SubjectTest,toStringsAreIdentical,Long Statement,The length of the statement "assertThat(expected).hasMessage("Not true that <5> (java.lang.Integer) " + "is equal to <5> (com.google.common.truth.SubjectTest$IntWrapper)");" is 143.,136
truth,com.google.common.truth,SubjectTest,toStringsAreIdentical,Magic Number,The method contains a magic number: 5,136
truth,com.google.common.truth,SubjectTest,toStringsAreIdentical,Magic Number,The method contains a magic number: 5,136
truth,com.google.common.truth,SubjectTest,isSameAsFailureWithDifferentTypesAndSameToString,Long Statement,The length of the statement "assertThat(e).hasMessage("Not true that <true> (java.lang.String) is the same" + " instance as <true> (java.lang.Boolean)");" is 124.,208
truth,com.google.common.truth,SubjectTest,isInstanceOfFail,Long Statement,The length of the statement "assertThat(e).hasMessage("Not true that <4.5> is an instance of <java.lang.Long>." + " It is an instance of <java.lang.Double>");" is 129.,465
truth,com.google.common.truth,SubjectTest,isInstanceOfFail,Magic Number,The method contains a magic number: 4.5,465
truth,com.google.common.truth,SubjectTest,isNotInstanceOfFail,Magic Number,The method contains a magic number: 5,483
truth,com.google.common.truth,SubjectTest,equalsThrowsUSOE,Magic Number,The method contains a magic number: 5,664
truth,com.google.common.truth,SubjectTest,equalsThrowsUSOE,Magic Number,The method contains a magic number: 5,664
truth,com.google.common.truth,SubjectTest,hashCodeThrowsUSOE,Magic Number,The method contains a magic number: 5,676
truth,com.google.common.truth,CustomFailureMessageTest,assertWithMessageIsPrepended,Magic Number,The method contains a magic number: 13,36
truth,com.google.common.truth,CustomFailureMessageTest,assertWithMessageIsPrepended,Magic Number,The method contains a magic number: 12,36
truth,com.google.common.truth,CustomFailureMessageTest,assertWithMessageIsPrependedWithNamed,Magic Number,The method contains a magic number: 13,46
truth,com.google.common.truth,CustomFailureMessageTest,assertWithMessageIsPrependedWithNamed,Magic Number,The method contains a magic number: 12,46
truth,com.google.common.truth,CustomFailureMessageTest,customMessageIsPrepended,Magic Number,The method contains a magic number: 13,72
truth,com.google.common.truth,CustomFailureMessageTest,customMessageIsPrepended,Magic Number,The method contains a magic number: 12,72
truth,com.google.common.truth,CustomFailureMessageTest,customMessageIsPrependedWithNamed,Magic Number,The method contains a magic number: 13,85
truth,com.google.common.truth,CustomFailureMessageTest,customMessageIsPrependedWithNamed,Magic Number,The method contains a magic number: 12,85
truth,com.google.common.truth,IterationOverSubjectTest,collectionPropositionWithMultipleArguments,Magic Number,The method contains a magic number: 2,38
truth,com.google.common.truth,IterationOverSubjectTest,collectionPropositionWithMultipleArguments,Magic Number,The method contains a magic number: 3,38
truth,com.google.common.truth,IterationOverSubjectTest,collectionPropositionWithMultipleArguments,Magic Number,The method contains a magic number: 2,38
truth,com.google.common.truth,IterationOverSubjectTest,collectionPropositionWithMultipleArguments,Magic Number,The method contains a magic number: 4,38
truth,com.google.common.truth,IterationOverSubjectTest,collectionPropositionWithMultipleArguments,Magic Number,The method contains a magic number: 5,38
truth,com.google.common.truth,IterationOverSubjectTest,collectionPropositionWithMultipleArguments,Magic Number,The method contains a magic number: 6,38
truth,com.google.common.truth,IterationOverSubjectTest,collectionPropositionWithMultipleArguments,Magic Number,The method contains a magic number: 6,38
truth,com.google.common.truth,IterationOverSubjectTest,collectionPropositionWithMultipleArguments,Magic Number,The method contains a magic number: 7,38
truth,com.google.common.truth,LongTest,simpleEquality,Magic Number,The method contains a magic number: 2L,40
truth,com.google.common.truth,LongTest,simpleEquality,Magic Number,The method contains a magic number: 2,40
truth,com.google.common.truth,LongTest,simpleEquality,Magic Number,The method contains a magic number: 4L,40
truth,com.google.common.truth,LongTest,longIsLong,Magic Number,The method contains a magic number: 4L,45
truth,com.google.common.truth,LongTest,longIsLong,Magic Number,The method contains a magic number: 4L,45
truth,com.google.common.truth,LongTest,simpleInequality,Magic Number,The method contains a magic number: 2L,50
truth,com.google.common.truth,LongTest,simpleInequality,Magic Number,The method contains a magic number: 2,50
truth,com.google.common.truth,LongTest,simpleInequality,Magic Number,The method contains a magic number: 5L,50
truth,com.google.common.truth,LongTest,equalityFail,Magic Number,The method contains a magic number: 2L,55
truth,com.google.common.truth,LongTest,equalityFail,Magic Number,The method contains a magic number: 2,55
truth,com.google.common.truth,LongTest,equalityFail,Magic Number,The method contains a magic number: 5L,55
truth,com.google.common.truth,LongTest,inequalityFail,Magic Number,The method contains a magic number: 2L,65
truth,com.google.common.truth,LongTest,inequalityFail,Magic Number,The method contains a magic number: 2,65
truth,com.google.common.truth,LongTest,inequalityFail,Magic Number,The method contains a magic number: 4L,65
truth,com.google.common.truth,LongTest,additionAssumptionFail,Empty catch clause,The method has an empty catch block.,75
truth,com.google.common.truth,LongTest,additionAssumptionFail,Magic Number,The method contains a magic number: 2L,75
truth,com.google.common.truth,LongTest,additionAssumptionFail,Magic Number,The method contains a magic number: 2,75
truth,com.google.common.truth,LongTest,additionAssumptionFail,Magic Number,The method contains a magic number: 5L,75
truth,com.google.common.truth,LongTest,equalityOfNullsFail,Magic Number,The method contains a magic number: 5L,89
truth,com.google.common.truth,LongTest,equalityOfNullsFail,Magic Number,The method contains a magic number: 5L,89
truth,com.google.common.truth,LongTest,inequalityOfNulls,Magic Number,The method contains a magic number: 4L,105
truth,com.google.common.truth,LongTest,inequalityOfNulls,Magic Number,The method contains a magic number: 4L,105
truth,com.google.common.truth,ComparableSubjectTest,testNulls,Empty catch clause,The method has an empty catch block.,41
truth,com.google.common.truth,ComparableSubjectTest,testNulls,Empty catch clause,The method has an empty catch block.,41
