Project Name,Package Name,Architecture Smell,Cause of the Smell
truth,com.google.common.truth,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 102
truth,com.google.common.truth,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.common.truth; com.google.common.truth.codegen
truth,com.google.common.truth,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.google.common.truth.codegen
truth,com.google.common.truth,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AutoValue_Expect_ExpectationFailure; Expect; FailureStrategy; BooleanSubject; PrimitiveFloatArraySubject; MapSubject; PrimitiveIntArraySubject; IteratingVerb; TestVerb; ClassSubject; MultisetSubject; SetMultimapSubject; IterableSubject; ExpectFailureWithStackTraceTest; SubjectFactoryReflectionTest; StringSubject; SubjectFactory; Truth; Subject; ListMultimapSubject; DefaultSubject; LongSubject; TableSubject; PrimitiveLongArraySubject; OptionalSubject; ComparableSubject; IntegerSubject; BigDecimalSubject; PrimitiveByteArraySubject; AbstractVerb; AbstractVerb.DelegatedVerb; PrimitiveCharArraySubject; PrimitiveBooleanArraySubject; Platform; Platform; TruthAssertThatTest; SubjectTest; CustomFailureMessageTest; AbstractVerbTest; IterationOverSubjectTest; LongTest; TruthJUnit; StringUtil; ClassTest; AbstractArraySubjectTest.TestSubjectFactory; AbstractArraySubjectTest.TestableStringArraySubject; AbstractArraySubject; PrimitiveDoubleArraySubject; MathUtil; AbstractArraySubjectTest.CapturingFailureStrategy; ExampleTest; IntegerTest; ExpectFailureTest; MathUtilTest; ExpectTest; PlatformTest; ObjectArraySubject; DoubleSubject; ThrowableSubject; MultimapSubject; Ordered; IterableSubject.NotInOrder; MultimapSubject.IterableValuesForKey; MultimapSubject.MultimapInOrder; Expect.ExpectationGatherer; AbstractVerb.MessagePrependingFailureStrategy]; [ExpectFailureWithStackTraceTest.FailingExpect]; [RelabeledSubjectsTest]; [PrimitiveCharArraySubjectTest]; [SubjectTest.IntWrapper]; [ComparableSubjectTest]; [ComparableSubjectTest.ComparableType]; [ComparableSubjectTest.RawComparableType]; [BigDecimalTest]; [AbstractArraySubjectTest]; [TableTest]; [BooleanTest]; [ThrowableTest]; [ExpectFailureTest.FailingExpect]; [PrimitiveIntArraySubjectTest]; [PrimitiveBooleanArraySubjectTest]; [OptionalSubjectTest]; [PrimitiveDoubleArraySubjectTest]; [ObjectArraySubjectTest]; [IterableTest]; [IterableTest.HashCodeThrower]; [IterableTest.Foo]; [IterableTest.Bar]; [MultimapTest]; [PrimitiveLongArraySubjectTest]; [MapTest]; [MultisetTest]; [StringTest]; [PrimitiveByteArraySubjectTest]; [PrimitiveFloatArraySubjectTest]; [DoubleTest]; [TruthJUnit.ThrowableAssumptionViolatedException]; [DoubleSubject.TolerantDoubleComparison]; [SubjectUtils]; [Expect.ExpectationFailure]; [ReflectionUtil]; [IterableSubject.PairwiseChecker]. LCC (Lack of Component Cohesion) = 0.36
truth,com.google.common.truth.codegen,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.common.truth.codegen; com.google.common.truth
truth,com.google.common.truth.codegen,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [IteratingWrapperClassBuilderTest; BarSubject; IteratingWrapperClassBuilder]; [IteratingWrapperClassBuilderTest.FooSubject]; [CompilingClassLoader]; [CompilingClassLoader.CompilerException]; [CompilingClassLoader.InMemoryFileManager]; [CompilingClassLoader.InMemoryJavaFile]. LCC (Lack of Component Cohesion) = 0.75
