Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
truth,com.google.common.truth,MapSubjectTest,Law of Demeter violation,The tool detected the smell in this method (containsExactlyWithNullKey) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.common.truth.MapSubject.containsExactlyEntriesIn; com.google.common.truth.Ordered.inOrder
truth,com.google.common.truth,MapSubjectTest,Law of Demeter violation,The tool detected the smell in this method (containsExactlyWithNullValue) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.common.truth.MapSubject.containsExactlyEntriesIn; com.google.common.truth.Ordered.inOrder
truth,com.google.common.truth,MapSubjectTest,Law of Demeter violation,The tool detected the smell in this method (containsExactlyDuplicateKeys) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.common.truth.ThrowableSubject.hasMessageThat; com.google.common.truth.Subject.isEqualTo
truth,com.google.common.truth,MapSubjectTest,Law of Demeter violation,The tool detected the smell in this method (containsExactlyMultipleDuplicateKeys) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.common.truth.ThrowableSubject.hasMessageThat; com.google.common.truth.Subject.isEqualTo
truth,com.google.common.truth,MapSubjectTest,Law of Demeter violation,The tool detected the smell in this method (containsExactlyBadNumberOfArgs) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.common.truth.ThrowableSubject.hasMessageThat; com.google.common.truth.Subject.isEqualTo
truth,com.google.common.truth,MapSubjectTest,Law of Demeter violation,The tool detected the smell in this method (containsAtLeastWithNullKey) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.common.truth.MapSubject.containsAtLeastEntriesIn; com.google.common.truth.Ordered.inOrder
truth,com.google.common.truth,MapSubjectTest,Law of Demeter violation,The tool detected the smell in this method (containsAtLeastWithNullValue) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.common.truth.MapSubject.containsAtLeastEntriesIn; com.google.common.truth.Ordered.inOrder
truth,com.google.common.truth,MapSubjectTest,Law of Demeter violation,The tool detected the smell in this method (containsAtLeastDuplicateKeys) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.common.truth.ThrowableSubject.hasMessageThat; com.google.common.truth.Subject.isEqualTo
truth,com.google.common.truth,MapSubjectTest,Law of Demeter violation,The tool detected the smell in this method (containsAtLeastMultipleDuplicateKeys) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.common.truth.ThrowableSubject.hasMessageThat; com.google.common.truth.Subject.isEqualTo
truth,com.google.common.truth,MapSubjectTest,Law of Demeter violation,The tool detected the smell in this method (containsAtLeastBadNumberOfArgs) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.common.truth.ThrowableSubject.hasMessageThat; com.google.common.truth.Subject.isEqualTo
